"player","squad","season","goals","assists","gca","sca","passes_other_pen","passes_cross_other_pen","touches_other_pen","carries_other_pen","goals_norm","assists_norm","gca_norm","sca_norm","passes_other_pen_norm","passes_cross_other_pen_norm","touches_other_pen_norm","carries_other_pen_norm","goals_per90","assists_per90","gca_per90","sca_per90","passes_other_pen_per90","passes_cross_other_pen_per90","touches_other_pen_per90","carries_other_pen_per90"
"Mason Greenwood","Manchester Utd",2021,5,1,7,44,13,3,60,27,0.21739130434782608,0.07692307692307693,0.28,0.29333333333333333,0.1368421052631579,0.11538461538461539,0.18018018018018017,0.3068181818181818,0.327142000989778,0.06542840019795561,0.45799880138568927,2.878849608710047,0.8505692025734229,0.19628520059386684,3.9257040118773365,1.7665668053448014
"Nemanja Matić","Manchester Utd",2021,0,4,5,28,8,1,8,2,0,0.3076923076923077,0.2,0.18666666666666668,0.08421052631578947,0.038461538461538464,0.024024024024024024,0.022727272727272728,0,0.26171360079182243,0.327142000989778,1.831995205542757,0.5234272015836449,0.06542840019795561,0.5234272015836449,0.13085680039591122
"Paul Pogba","Manchester Utd",2021,1,9,11,51,26,5,51,8,0.043478260869565216,0.6923076923076923,0.44,0.34,0.2736842105263158,0.19230769230769232,0.15315315315315314,0.09090909090909091,0.06542840019795561,0.5888556017816005,0.7197124021775118,3.3368484100957363,1.7011384051468459,0.327142000989778,3.3368484100957363,0.5234272015836449
"Phil Jones","Manchester Utd",2021,0,0,0,2,0,0,1,0,0,0,0,0.013333333333333334,0,0,0.003003003003003003,0,0,0,0,0.13085680039591122,0,0,0.06542840019795561,0
"Raphaël Varane","Manchester Utd",2021,1,1,2,10,0,0,15,0,0.043478260869565216,0.07692307692307693,0.08,0.06666666666666667,0,0,0.04504504504504504,0,0.06542840019795561,0.06542840019795561,0.13085680039591122,0.654284001979556,0,0,0.9814260029693341,0
"Scott McTominay","Manchester Utd",2021,1,1,6,45,9,1,31,3,0.043478260869565216,0.07692307692307693,0.24,0.3,0.09473684210526316,0.038461538461538464,0.09309309309309309,0.03409090909090909,0.06542840019795561,0.06542840019795561,0.3925704011877337,2.9442780089080025,0.5888556017816005,0.06542840019795561,2.028280406136624,0.19628520059386684
"Shola Shoretire","Manchester Utd",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victor Lindelöf","Manchester Utd",2021,0,2,3,10,8,0,14,1,0,0.15384615384615385,0.12,0.06666666666666667,0.08421052631578947,0,0.042042042042042045,0.011363636363636364,0,0.13085680039591122,0.19628520059386684,0.654284001979556,0.5234272015836449,0,0.9159976027713785,0.06542840019795561
"David de Gea","Manchester Utd",2020,0,0,1,2,0,0,0,0,0,0,0.037037037037037035,0.011904761904761904,0,0,0,0,0,0,0.06377214635005143,0.12754429270010287,0,0,0,0
"Dean Henderson","Manchester Utd",2020,0,0,0,1,0,0,0,0,0,0,0,0.005952380952380952,0,0,0,0,0,0,0,0.06377214635005143,0,0,0,0
"Amad Diallo","Manchester Utd",2020,0,1,1,2,1,0,4,0,0,0.07142857142857142,0.037037037037037035,0.011904761904761904,0.009900990099009901,0,0.012779552715654952,0,0,0.06377214635005143,0.06377214635005143,0.12754429270010287,0.06377214635005143,0,0.25508858540020574,0
"Axel Tuanzebe","Manchester Utd",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mason Greenwood","Manchester Utd",2020,7,2,5,50,17,3,113,35,0.30434782608695654,0.14285714285714285,0.18518518518518517,0.2976190476190476,0.16831683168316833,0.09375,0.3610223642172524,0.4375,0.44640502445036,0.12754429270010287,0.31886073175025714,3.1886073175025715,1.0841264879508743,0.19131643905015427,7.2062525375558115,2.2320251222518
"Victor Lindelöf","Manchester Utd",2020,1,1,1,9,6,0,10,0,0.043478260869565216,0.07142857142857142,0.037037037037037035,0.05357142857142857,0.0594059405940594,0,0.03194888178913738,0,0.06377214635005143,0.06377214635005143,0.06377214635005143,0.5739493171504628,0.38263287810030855,0,0.6377214635005143,0
"Paul Pogba","Manchester Utd",2020,3,3,7,68,34,3,71,5,0.13043478260869565,0.21428571428571427,0.25925925925925924,0.40476190476190477,0.33663366336633666,0.09375,0.2268370607028754,0.0625,0.19131643905015427,0.19131643905015427,0.44640502445036,4.336505951803497,2.1682529759017486,0.19131643905015427,4.527822390853651,0.31886073175025714
"Luke Shaw","Manchester Utd",2020,1,5,11,111,46,16,61,14,0.043478260869565216,0.35714285714285715,0.4074074074074074,0.6607142857142857,0.45544554455445546,0.5,0.19488817891373802,0.175,0.06377214635005143,0.31886073175025714,0.7014936098505657,7.078708244855709,2.9335187321023657,1.020354341600823,3.8901009273531373,0.89281004890072
"Shola Shoretire","Manchester Utd",2020,0,0,0,1,0,0,0,0,0,0,0,0.005952380952380952,0,0,0,0,0,0,0,0.06377214635005143,0,0,0,0
"Fred","Manchester Utd",2020,1,0,5,67,18,0,17,2,0.043478260869565216,0,0.18518518518518517,0.39880952380952384,0.1782178217821782,0,0.054313099041533544,0.025,0.06377214635005143,0,0.31886073175025714,4.272733805453446,1.1478986343009256,0,1.0841264879508743,0.12754429270010287
"Anthony Martial","Manchester Utd",2020,4,3,8,43,15,0,121,17,0.17391304347826086,0.21428571428571427,0.2962962962962963,0.25595238095238093,0.1485148514851485,0,0.3865814696485623,0.2125,0.25508858540020574,0.19131643905015427,0.5101771708004115,2.742202293052211,0.9565821952507714,0,7.716429708356222,1.0841264879508743
"Eric Bailly","Manchester Utd",2020,0,0,1,3,0,0,4,0,0,0,0.037037037037037035,0.017857142857142856,0,0,0.012779552715654952,0,0,0,0.06377214635005143,0.19131643905015427,0,0,0.25508858540020574,0
"Timothy Fosu-Mensah","Manchester Utd",2020,0,0,0,4,1,1,4,1,0,0,0,0.023809523809523808,0.009900990099009901,0.03125,0.012779552715654952,0.0125,0,0,0,0.25508858540020574,0.06377214635005143,0.06377214635005143,0.25508858540020574,0.06377214635005143
"Edinson Cavani","Manchester Utd",2020,10,3,4,34,13,1,81,1,0.43478260869565216,0.21428571428571427,0.14814814814814814,0.20238095238095238,0.12871287128712872,0.03125,0.25878594249201275,0.0125,0.6377214635005143,0.19131643905015427,0.25508858540020574,2.1682529759017486,0.8290379025506686,0.06377214635005143,5.165543854354166,0.06377214635005143
"Brandon Williams","Manchester Utd",2020,0,0,0,1,2,1,1,0,0,0,0,0.005952380952380952,0.019801980198019802,0.03125,0.003194888178913738,0,0,0,0,0.06377214635005143,0.12754429270010287,0.06377214635005143,0.06377214635005143,0
"Nemanja Matić","Manchester Utd",2020,0,0,3,20,10,3,9,3,0,0,0.1111111111111111,0.11904761904761904,0.09900990099009901,0.09375,0.02875399361022364,0.0375,0,0,0.19131643905015427,1.2754429270010286,0.6377214635005143,0.19131643905015427,0.5739493171504628,0.19131643905015427
"Marcus Rashford","Manchester Utd",2020,11,9,18,105,56,6,190,61,0.4782608695652174,0.6428571428571429,0.6666666666666666,0.625,0.5544554455445545,0.1875,0.6070287539936102,0.7625,0.7014936098505657,0.5739493171504628,1.1478986343009256,6.6960753667554,3.57124019560288,0.38263287810030855,12.11670780650977,3.8901009273531373
"Scott McTominay","Manchester Utd",2020,4,1,3,33,9,1,36,5,0.17391304347826086,0.07142857142857142,0.1111111111111111,0.19642857142857142,0.0891089108910891,0.03125,0.11501597444089456,0.0625,0.25508858540020574,0.06377214635005143,0.19131643905015427,2.1044808295516972,0.5739493171504628,0.06377214635005143,2.2957972686018513,0.31886073175025714
"Aaron Wan-Bissaka","Manchester Utd",2020,2,4,8,57,33,14,39,3,0.08695652173913043,0.2857142857142857,0.2962962962962963,0.3392857142857143,0.32673267326732675,0.4375,0.12460063897763578,0.0375,0.12754429270010287,0.25508858540020574,0.5101771708004115,3.6350123419529314,2.1044808295516972,0.89281004890072,2.487113707652006,0.19131643905015427
"William Thomas Fish","Manchester Utd",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony Elanga","Manchester Utd",2020,1,0,0,2,0,0,6,1,0.043478260869565216,0,0,0.011904761904761904,0,0,0.019169329073482427,0.0125,0.06377214635005143,0,0,0.12754429270010287,0,0,0.38263287810030855,0.06377214635005143
"Bruno Fernandes","Manchester Utd",2020,18,12,27,168,96,8,132,13,0.782608695652174,0.8571428571428571,1,1,0.9504950495049505,0.25,0.4217252396166134,0.1625,1.1478986343009256,0.7652657562006171,1.7218479514513885,10.71372058680864,6.122126049604937,0.5101771708004115,8.417923318206789,0.8290379025506686
"Juan Mata","Manchester Utd",2020,1,2,5,18,4,1,17,4,0.043478260869565216,0.14285714285714285,0.18518518518518517,0.10714285714285714,0.039603960396039604,0.03125,0.054313099041533544,0.05,0.06377214635005143,0.12754429270010287,0.31886073175025714,1.1478986343009256,0.25508858540020574,0.06377214635005143,1.0841264879508743,0.25508858540020574
"Hannibal Mejbri","Manchester Utd",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Odion Ighalo","Manchester Utd",2020,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.006389776357827476,0,0,0,0,0,0,0,0.12754429270010287,0
"Donny van de Beek","Manchester Utd",2020,1,1,2,12,2,1,28,0,0.043478260869565216,0.07142857142857142,0.07407407407407407,0.07142857142857142,0.019801980198019802,0.03125,0.08945686900958466,0,0.06377214635005143,0.06377214635005143,0.12754429270010287,0.7652657562006171,0.12754429270010287,0.06377214635005143,1.78562009780144,0
"Alex Telles","Manchester Utd",2020,0,2,3,21,14,2,3,1,0,0.14285714285714285,0.1111111111111111,0.125,0.13861386138613863,0.0625,0.009584664536741214,0.0125,0,0.12754429270010287,0.19131643905015427,1.33921507335108,0.89281004890072,0.12754429270010287,0.19131643905015427,0.06377214635005143
"Harry Maguire","Manchester Utd",2020,2,1,6,31,8,1,51,3,0.08695652173913043,0.07142857142857142,0.2222222222222222,0.18452380952380953,0.07920792079207921,0.03125,0.16293929712460065,0.0375,0.12754429270010287,0.06377214635005143,0.38263287810030855,1.9769365368515943,0.5101771708004115,0.06377214635005143,3.252379463852623,0.19131643905015427
"Daniel James","Manchester Utd",2020,3,1,3,16,12,3,43,11,0.13043478260869565,0.07142857142857142,0.1111111111111111,0.09523809523809523,0.1188118811881188,0.09375,0.13738019169329074,0.1375,0.19131643905015427,0.06377214635005143,0.19131643905015427,1.020354341600823,0.7652657562006171,0.19131643905015427,2.742202293052211,0.7014936098505657
