Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog
Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,64,80,80,1365,459,24,26,92.3,26,30,86.7,14,22,63.6,0,0,0,0,2,0,0,3
Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,4,8,50,60,6,2,4,50,2,3,66.7,0,1,0,0,0,0,0,0,0,0,0
Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,85,103,82.5,1349,211,48,53,90.6,26,31,83.9,9,13,69.2,2,1,1,6,6,5,2,7
Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,255,306,83.3,4371,887,126,142,88.7,94,110,85.5,27,39,69.2,0,0.5,-0.5,9,22,6,1,21
Ross Barkley,eng ENG,MF,Chelsea,27,1993,2,105,127,82.7,1714,381,59,64,92.2,30,38,78.9,12,15,80,0,0.7,-0.7,8,6,7,0,11
Ashley Barnes,eng ENG,FW,Burnley,31,1989,9,130,199,65.3,1877,537,79,105,75.2,37,59,62.7,9,18,50,0,1.6,-1.6,10,18,5,2,19
Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,557,751,74.2,8019,2337,336,405,83,179,245,73.1,24,53,45.3,10,4,6,29,28,28,2,74
Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,41,54,75.9,556,138,26,32,81.3,10,12,83.3,2,5,40,0,0,0,0,2,0,0,4
Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,387,500,77.4,7991,3011,130,153,85,188,222,84.7,65,110,59.1,0,0.4,-0.4,7,21,4,3,15
Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,1185,1431,82.8,24493,7355,395,434,91,605,674,89.8,171,295,58,0,0.6,-0.6,6,75,1,1,51
Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,202,241,83.8,3132,897,104,118,88.1,80,88,90.9,10,23,43.5,0,0.1,-0.1,2,15,3,0,14
Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,25,32,78.1,385,184,14,18,77.8,8,10,80,2,2,100,0,0.5,-0.5,3,2,2,0,3
Asmir Begović,ba BIH,GK,Everton,34,1987,3,35,84,41.7,1599,1285,2,2,100,10,10,100,23,71,32.4,0,0,0,0,1,0,0,0
Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,625,831,75.2,9864,2270,369,428,86.2,191,252,75.8,47,94,50,6,3.2,2.8,31,33,32,12,61
Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,905,1015,89.2,17316,3449,359,385,93.2,401,434,92.4,127,155,81.9,4,2.3,1.7,15,81,7,2,68
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,205,300,68.3,3169,582,117,158,74.1,60,96,62.5,19,27,70.4,1,1.1,-0.1,11,11,10,1,17
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,218,345,63.2,3487,903,134,165,81.2,58,89,65.2,22,63,34.9,1,0.3,0.7,6,6,12,11,13
Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,148,178,83.1,2056,420,94,102,92.2,40,50,80,6,11,54.5,1,0.7,0.3,8,8,10,0,15
Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,154,191,80.6,2609,1077,75,81,92.6,65,78,83.3,9,18,50,0,0.3,-0.3,2,11,1,0,7
Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,8,11,72.7,142,17,5,6,83.3,2,4,50,1,1,100,0,0,0,0,0,0,0,0
Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,1061,1183,89.7,19784,3639,456,499,91.4,452,486,93,139,170,81.8,2,0.8,1.2,8,70,12,0,52
Willy Boly,ci CIV,DF,Wolves,30,1991,10,450,541,83.2,8974,3526,158,170,92.9,225,252,89.3,61,107,57,0,0.1,-0.1,1,17,0,0,15
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,586,862,68,10912,2894,278,345,80.6,183,245,74.7,104,206,50.5,10,5.4,4.6,42,28,27,5,53
Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,85,116,73.3,1591,657,39,47,83,35,45,77.8,10,20,50,0,0,0,0,7,1,0,7
Armando Broja,al ALB,FW,Southampton,19,2001,21.9,250,404,61.9,3086,630,162,232,69.8,62,117,53,5,13,38.5,0,1.3,-1.3,8,19,2,0,18
Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,900,1191,75.6,15616,4285,459,546,84.1,307,390,78.7,111,198,56.1,3,2.5,0.5,40,77,21,1,92
Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,21,21,100,441,20,8,8,100,10,10,100,3,3,100,0,0,0,0,1,0,0,0
Bryan,es ESP,FWMF,Tottenham,20,2001,1,49,63,77.8,764,240,29,35,82.9,15,19,78.9,4,5,80,0,0.1,-0.1,2,1,3,2,2
Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,697,876,79.6,11280,3006,363,424,85.6,246,297,82.8,61,101,60.4,6,5.5,0.5,45,63,41,3,108
Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,507,624,81.3,11068,2942,125,152,82.2,275,312,88.1,100,145,69,0,0,0,1,43,2,0,37
Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,460,574,80.1,9471,2564,136,162,84,250,285,87.7,65,109,59.6,1,0.1,0.9,2,27,1,0,27
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,205,279,73.5,5079,2568,56,56,100,103,105,98.1,45,117,38.5,0,0,0,0,2,0,0,0
Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,380,486,78.2,6385,2056,187,217,86.2,156,194,80.4,30,54,55.6,0,0.2,-0.2,4,13,4,0,25
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,39,59,66.1,1548,1209,4,4,100,14,14,100,21,41,51.2,0,0,0,0,0,0,0,0
Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,224,274,81.8,3494,876,119,138,86.2,77,98,78.6,20,28,71.4,1,0.4,0.6,5,14,3,0,21
Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,180,292,61.6,2199,459,115,177,65,36,68,52.9,9,12,75,2,1.8,0.2,12,10,5,0,12
Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,9,10,90,110,23,7,8,87.5,2,2,100,0,0,,0,0,0,0,0,0,0,0
João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,2752,3282,83.9,49380,14430,1304,1412,92.4,1132,1306,86.7,297,482,61.6,7,5.1,1.9,39,266,95,13,274
Sergi Canós,es ESP,DF,Brentford,24,1997,23.1,452,748,60.4,7966,3379,228,289,78.9,159,237,67.1,55,164,33.5,2,1.9,0.1,17,44,26,10,77
Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,127,154,82.5,2078,457,61,70,87.1,50,60,83.3,11,16,68.8,0,0.1,-0.1,2,9,2,0,10
Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,1120,1586,70.6,20851,8091,482,556,86.7,477,604,79,139,361,38.5,3,1.9,1.1,25,68,29,14,91
Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,1068,1292,82.7,18149,6480,527,592,89,439,519,84.6,90,140,64.3,0,1.3,-1.3,14,65,14,6,69
Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,506,600,84.3,8940,2616,231,260,88.8,213,244,87.3,53,71,74.6,0,1.2,-1.2,10,20,9,4,31
Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,742,917,80.9,17605,5044,176,199,88.4,393,451,87.1,169,253,66.8,1,0.3,0.7,2,47,5,1,40
Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,180,225,80,2736,344,111,128,86.7,50,67,74.6,11,19,57.9,1,1.4,-0.4,8,4,1,0,9
Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,2,2,100,32,0,1,1,100,1,1,100,0,0,,0,0,0,0,0,0,0,0
Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,1138,1239,91.8,20653,5698,449,475,94.5,586,616,95.1,98,136,72.1,1,0.2,0.8,3,103,6,0,54
Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,384,460,83.5,8361,2650,106,120,88.3,208,227,91.6,67,106,63.2,0,0.1,-0.1,2,33,5,0,24
Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,81,98,82.7,1499,490,35,38,92.1,36,42,85.7,10,17,58.8,0,0.1,-0.1,1,5,1,1,9
Daniel Chesters,eng ENG,MF,West Ham,19,2002,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6,265,344,77,4218,1153,133,146,91.1,110,132,83.3,16,47,34,1,0.9,0.1,10,7,6,1,13
Chiquinho,pt POR,DFMF,Wolves,21,2000,2.3,72,108,66.7,1251,478,43,53,81.1,17,29,58.6,11,18,61.1,3,0.6,2.4,5,5,5,4,10
Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,129,158,81.6,2277,536,62,70,88.6,47,57,82.5,17,24,70.8,0,0,0,0,2,0,0,5
Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,1166,1276,91.4,23812,6931,377,402,93.8,590,628,93.9,188,227,82.8,0,0.2,-0.2,5,94,7,1,69
Carney Chukwuemeka,lk SRI,MFFW,Aston Villa,17,2003,3.3,98,120,81.7,1461,245,50,60,83.3,40,44,90.9,5,7,71.4,1,1,0,2,2,0,0,3
Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,276,348,79.3,5333,1582,90,103,87.4,149,169,88.2,32,66,48.5,1,0.3,0.7,4,12,1,1,15
Tom Cleverley,eng ENG,MF,Watford,31,1989,18,461,626,73.6,7829,2352,227,263,86.3,163,205,79.5,53,127,41.7,2,2,0,19,41,11,4,43
Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15,563,718,78.4,9677,3450,258,284,90.8,258,316,81.6,40,92,43.5,1,0.5,0.5,6,24,9,4,22
Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,1471,1632,90.1,36772,10454,216,233,92.7,853,889,96,394,492,80.1,0,0,0,2,50,4,0,44
Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,913,1237,73.8,16388,7499,428,488,87.7,370,497,74.4,105,218,48.2,0,1.1,-1.1,12,91,25,11,84
Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,463,642,72.1,10217,3911,133,171,77.8,226,273,82.8,95,181,52.5,0,0.9,-0.9,7,41,5,1,45
Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,15,18,83.3,212,10,9,11,81.8,6,7,85.7,0,0,,0,0.4,-0.4,1,0,0,0,0
Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,957,1122,85.3,20660,6397,253,282,89.7,542,581,93.3,152,238,63.9,1,0.1,0.9,3,34,0,0,44
Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,432,573,75.4,7724,1982,212,266,79.7,143,182,78.6,64,92,69.6,0,0.1,-0.1,5,43,7,2,39
Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,285,434,65.7,4210,978,160,218,73.4,80,107,74.8,22,61,36.1,1,1.5,-0.5,14,9,14,5,23
Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,4,4,100,65,0,3,3,100,1,1,100,0,0,,0,0,0,0,0,0,0,0
Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,982,1417,69.3,16708,7662,465,549,84.7,419,572,73.3,80,230,34.8,4,2.4,1.6,20,64,31,17,105
Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,527,641,82.2,9021,2278,271,309,87.7,187,216,86.6,55,84,65.5,3,3.2,-0.2,25,68,13,3,60
Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,1641,2047,80.2,29789,12432,733,791,92.7,711,807,88.1,179,382,46.9,3,3.2,-0.2,35,127,24,8,155
Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,72,96,75,1599,476,17,19,89.5,42,46,91.3,13,30,43.3,0,0,0,0,3,0,0,5
Cucho,co COL,FWMF,Watford,22,1999,12.7,254,394,64.5,4540,1604,126,164,76.8,80,115,69.6,39,80,48.8,2,1.9,0.1,19,22,15,6,33
Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,1895,2322,81.6,31826,11387,937,1032,90.8,770,894,86.1,152,281,54.1,1,2.6,-1.6,43,133,52,23,175
Luke Cundle,eng ENG,MF,Wolves,19,2002,2,96,106,90.6,1825,298,33,35,94.3,46,51,90.2,13,15,86.7,0,0.2,-0.2,2,9,2,0,7
Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,172,223,77.1,2498,360,106,126,84.1,53,68,77.9,8,10,80,3,1.8,1.2,12,7,4,1,12
Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,1313,1667,78.8,23042,8378,660,725,91,482,577,83.5,145,287,50.5,1,2.1,-1.1,34,113,29,5,128
Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20,934,1171,79.8,18629,6793,363,418,86.8,430,508,84.6,137,222,61.7,0,1,-1,16,73,26,9,99
Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,152,253,60.1,6707,4585,15,15,100,41,42,97.6,96,195,49.2,0,0,0,0,10,0,0,0
Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,71,88,80.7,1232,306,29,32,90.6,36,45,80,4,7,57.1,0,0.1,-0.1,2,6,4,1,7
Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,1375,1600,85.9,25844,8737,524,563,93.1,712,785,90.7,122,199,61.3,1,0.6,0.4,8,124,14,0,117
Tom Davies,eng ENG,MF,Everton,23,1998,2.6,60,79,75.9,959,231,30,32,93.8,23,30,76.7,4,8,50,0,0,0,0,3,1,0,8
Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,3,3,100,49,30,1,1,100,2,2,100,0,0,,0,0,0,0,0,0,0,1
Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,1015,1234,82.3,23629,7149,288,316,91.1,472,522,90.4,247,375,65.9,2,0.5,1.5,3,84,1,0,45
Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,1172,1553,75.5,22303,6186,520,600,86.7,464,582,79.7,166,311,53.4,8,9.4,-1.4,88,132,67,9,157
Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,3,6,50,38,16,2,4,50,1,1,100,0,0,,0,0.1,-0.1,1,1,0,0,1
Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,1,1,100,15,5,1,1,100,0,0,,0,0,,0,0,0,0,0,0,0,0
Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,263,308,85.4,5253,1300,117,124,94.4,94,110,85.5,48,62,77.4,0,0.1,-0.1,3,33,2,0,26
Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,709,812,87.3,12399,2333,323,368,87.8,295,322,91.6,73,88,83,2,1,1,11,44,4,0,37
Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,431,633,68.1,6406,1891,255,329,77.5,125,180,69.4,32,56,57.1,6,3.2,2.8,33,22,21,5,60
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,23.4,941,1220,77.1,15939,4069,461,530,87,374,466,80.3,85,171,49.7,2,3,-1,34,95,27,4,98
Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,357,438,81.5,6245,1432,171,204,83.8,149,171,87.1,29,42,69,2,1,1,15,41,2,1,29
Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,2097,2224,94.3,45031,11468,566,594,95.3,1189,1224,97.1,336,389,86.4,4,2.3,1.7,12,182,4,0,106
Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,394,448,87.9,6196,1292,223,245,91,132,150,88,31,35,88.6,3,1.8,1.2,16,18,22,3,41
Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,1969,2226,88.5,44250,14510,492,525,93.7,1110,1175,94.5,362,506,71.5,0,1.4,-1.4,8,95,9,1,93
Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,632,823,76.8,9970,4476,360,397,90.7,200,260,76.9,55,125,44,4,2,2,29,29,24,16,56
Lucas Digne,fr FRA,DF,Everton,28,1993,13,487,678,71.8,8548,4277,219,262,83.6,211,268,78.7,42,104,40.4,0,1.7,-1.7,20,29,12,4,49
Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,404,469,86.1,7678,2665,153,163,93.9,199,220,90.5,46,79,58.2,1,0.1,0.9,1,16,0,0,15
Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,111,149,74.5,1706,705,66,77,85.7,33,45,73.3,10,17,58.8,0,0.2,-0.2,6,10,9,2,23
Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,4,7,57.1,106,24,2,3,66.7,0,1,0,2,3,66.7,0,0,0,0,1,0,0,1
Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,440,538,81.8,7428,1960,221,248,89.1,176,207,85,37,60,61.7,4,1.8,2.2,14,20,11,4,36
Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34,1796,2002,89.7,37056,10032,535,565,94.7,1002,1054,95.1,239,350,68.3,0,0.8,-0.8,8,111,1,0,83
Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,877,1095,80.1,14742,3154,429,500,85.8,349,419,83.3,74,112,66.1,4,2.2,1.8,21,81,23,1,91
Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,10.1,235,342,68.7,3998,1155,124,152,81.6,76,100,76,27,66,40.9,1,2,-1,16,18,15,6,24
Cody Drameh,eng ENG,DF,Leeds United,19,2001,1.4,60,77,77.9,927,398,39,44,88.6,18,23,78.3,3,4,75,0,0,0,1,3,2,1,6
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,535,845,63.3,20420,14076,69,69,100,195,198,98.5,268,575,46.6,0,0.1,-0.1,2,15,0,0,0
Shane Duffy,ie IRL,DF,Brighton,29,1992,16,894,1007,88.8,20678,5681,171,184,92.9,541,578,93.6,180,237,75.9,0,0.1,-0.1,3,55,2,0,35
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,51,68,75,867,436,24,28,85.7,25,31,80.6,2,8,25,0,0,0,0,5,0,0,3
Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,1676,1881,89.1,39331,10816,370,399,92.7,916,964,95,374,490,76.3,0,0.2,-0.2,2,85,2,1,54
Ederson,br BRA,GK,Manchester City,27,1993,37,976,1089,89.6,25570,14485,198,198,100,486,487,99.8,288,399,72.2,0,0.1,-0.1,1,10,1,0,1
Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,315,435,72.4,4447,915,206,260,79.2,89,122,73,14,21,66.7,3,2.3,0.7,19,20,13,1,36
CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0,1,1,100,32,30,0,0,,0,0,,1,1,100,0,0,0,0,0,0,0,0
Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,346,441,78.5,4650,1054,224,256,87.5,89,117,76.1,17,29,58.6,2,1.8,0.2,8,13,5,3,15
Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,210,249,84.3,3611,958,107,119,89.9,83,95,87.4,19,25,76,0,0.5,-0.5,8,24,9,2,34
Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9,518,554,93.5,9189,2002,230,244,94.3,226,232,97.4,53,60,88.3,2,0.6,1.4,9,53,2,0,24
Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,22.7,451,639,70.6,6805,1620,273,334,81.7,142,198,71.7,26,63,41.3,2,2.5,-0.5,29,38,21,2,49
Emerson,br BRA,DF,Tottenham,22,1999,25.4,1178,1441,81.7,19183,5304,637,709,89.8,436,516,84.5,89,147,60.5,1,2.1,-1.1,26,37,27,10,81
Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,472,634,74.4,10893,3905,160,185,86.5,171,209,81.8,134,220,60.9,4,3.6,0.4,32,75,18,8,65
Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,141,157,89.8,3290,732,33,36,91.7,78,84,92.9,30,36,83.3,0,0.1,-0.1,2,11,3,1,12
Jonny Evans,nir NIR,DF,Leicester City,33,1988,15,812,976,83.2,17881,5664,191,217,88,489,531,92.1,128,220,58.2,1,0.6,0.4,3,59,4,1,44
Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,6.7,235,304,77.3,4278,1088,108,126,85.7,89,105,84.8,33,58,56.9,1,0.9,0.1,9,16,7,2,28
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,636,1006,63.2,23248,15081,67,67,100,224,226,99.1,336,702,47.9,0,0,0,1,11,0,0,0
Fabinho,br BRA,MF,Liverpool,27,1993,25.7,1341,1522,88.1,24540,5539,552,611,90.3,630,686,91.8,137,180,76.1,1,1.4,-0.4,15,145,16,1,107
Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,856,1196,71.6,14470,6826,439,496,88.5,346,468,73.9,62,190,32.6,5,3.2,1.8,24,51,17,9,79
Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,6,7,85.7,98,5,3,4,75,1,1,100,1,1,100,0,0,0,0,0,1,1,0
Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,3,5,60,23,20,1,1,100,0,0,,0,2,0,0,0,0,0,0,0,0,0
Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,1524,2024,75.3,29671,8579,682,788,86.5,568,697,81.5,246,453,54.3,6,8.4,-2.4,88,155,85,15,196
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,322,500,64.4,9413,5300,64,66,97,147,150,98,110,283,38.9,0,0,0,0,10,0,0,1
