Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog
Max Aarons,eng ENG,DF,Norwich City,21,2000,32,1087,1440,75.5,18371,6874,560,622,90,419,544,77,98,217,45.2,2,1.4,0.6,19,50,36,8,94
Che Adams,sct SCO,FW,Southampton,25,1996,22.7,337,484,69.6,5275,1087,187,240,77.9,101,135,74.8,30,53,56.6,3,2.6,0.4,26,22,13,1,35
Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,754,1003,75.2,13088,4592,385,420,91.7,288,366,78.7,76,174,43.7,2,1.3,0.7,17,29,15,9,49
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,629,873,72.1,11601,5267,245,296,82.8,295,370,79.7,74,153,48.4,3,1.4,1.6,6,48,10,1,75
Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,780,855,91.2,14444,4178,331,351,94.3,364,395,92.2,80,98,81.6,0,0.5,-0.5,2,53,3,0,31
Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,345,551,62.6,5530,2373,200,235,85.1,114,172,66.3,24,106,22.6,2,1.7,0.3,12,21,11,5,32
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17,1325,1479,89.6,28007,7322,455,492,92.5,611,657,93,248,300,82.7,4,2.3,1.7,28,199,22,1,175
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2013,2706,74.4,44509,18154,727,826,88,813,1010,80.5,451,786,57.4,12,11.2,0.8,89,231,89,26,278
Alisson,br BRA,GK,Liverpool,28,1992,36,1178,1360,86.6,31704,17522,181,184,98.4,655,662,98.9,338,510,66.3,1,0.4,0.6,2,13,0,0,0
Allan,br BRA,MF,Everton,30,1991,24.3,757,967,78.3,14541,4232,284,332,85.5,354,426,83.1,99,157,63.1,2,0.9,1.1,15,100,19,2,106
Dele Alli,eng ENG,MF,Everton,25,1996,3.8,114,152,75,1873,511,51,67,76.1,44,52,84.6,11,18,61.1,0,0.3,-0.3,7,10,4,1,12
Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,167,214,78,2687,651,94,108,87,56,69,81.2,14,27,51.9,0,0.8,-0.8,2,13,5,0,19
Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,406,505,80.4,6222,1461,224,254,88.2,139,169,82.2,28,46,60.9,0,0.7,-0.7,16,22,9,2,38
Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,1132,1456,77.7,19695,6764,556,629,88.4,448,532,84.2,108,235,46,4,4.6,-0.6,44,68,33,15,107
Steven Alzate,co COL,MF,Brighton,22,1998,4.5,207,234,88.5,3619,900,92,102,90.2,85,90,94.4,24,32,75,0,0.2,-0.2,3,17,3,1,17
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,1353,1475,91.7,27707,7913,405,428,94.6,751,788,95.3,186,230,80.9,0,0.2,-0.2,3,55,0,0,59
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,1812,2195,82.6,47225,14423,326,366,89.1,961,1033,93,518,779,66.5,3,1.8,1.2,19,159,12,3,93
Michail Antonio,jm JAM,FW,West Ham,31,1990,33,466,708,65.8,7552,1461,256,333,76.9,145,213,68.1,45,84,53.6,8,6.7,1.3,46,26,32,13,43
Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,0.3,5,5,100,91,28,1,1,100,4,4,100,0,0,,0,0,0,0,0,1,0,3
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,20,41,48.8,768,546,0,0,,9,9,100,11,32,34.4,0,0,0,0,0,0,0,0
Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,223,315,70.8,3764,609,106,136,77.9,96,127,75.6,16,32,50,2,1.7,0.3,12,14,13,0,26
Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,583,734,79.4,9335,2293,304,366,83.1,218,254,85.8,43,69,62.3,0,1.4,-1.4,25,39,24,5,68
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,115,139,82.7,2763,1294,28,28,100,59,59,100,27,51,52.9,0,0,0,0,1,0,0,0
Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,7,8,87.5,142,18,2,2,100,4,5,80,1,1,100,0,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,145,205,70.7,2016,383,94,117,80.3,40,62,64.5,8,14,57.1,1,0.8,0.2,9,4,10,1,13
Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,570,745,76.5,8666,1732,326,368,88.6,197,245,80.4,33,79,41.8,3,2.2,0.8,21,29,15,5,48
Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,1218,1558,78.2,25686,10984,440,500,88,554,648,85.5,214,366,58.5,2,0.8,1.2,8,99,11,4,125
César Azpilicueta,es ESP,DF,Chelsea,31,1989,23,1442,1713,84.2,24337,9312,707,779,90.8,628,709,88.6,95,176,54,2,2.1,-0.1,18,107,20,3,124
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,211,357,59.1,8151,5656,21,21,100,79,82,96.3,111,254,43.7,0,0,0,0,9,0,0,0
Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,149,224,66.5,2621,580,71,83,85.5,52,74,70.3,20,45,44.4,2,0.6,1.4,8,4,11,3,20
