Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,3-Jan,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,1523,83,329,839,425,41,1451,15,23,65.2,17,1,761,3092,1268,69,34,4,28,21,872,785,90,45
Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,25,0,0,19,6,1,25,0,0,,0,0,19,71,39,4,0,0,1,2,23,22,95.7,1
Bryan,es ESP,FWMF,Tottenham,20,2001,1,82,2,10,19,58,4,79,3,4,75,3,0,67,393,246,13,2,0,5,3,69,59,85.5,13
Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,1165,30,153,577,512,75,1113,30,51,58.8,32,1,818,3777,2072,123,42,6,32,56,972,813,83.6,112
Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,773,101,393,362,64,12,755,1,2,50,1,0,464,2340,1209,27,9,0,6,3,517,496,95.9,2
Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,780,138,424,340,43,23,772,0,1,0,0,0,353,2038,789,13,0,0,3,2,399,384,96.2,2
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,295,265,294,1,0,0,206,0,0,,0,0,137,577,211,0,0,0,0,0,138,137,99.3,0
Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,646,82,320,239,121,18,580,2,7,28.6,2,0,300,1570,791,19,6,1,4,3,345,321,93,11
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,68,54,68,0,0,0,50,0,0,,0,0,37,224,114,0,0,0,0,0,34,34,100,0
Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,357,21,94,185,101,15,356,9,13,69.2,10,0,219,994,544,21,10,2,7,7,241,209,86.7,5
Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,463,14,43,201,232,59,447,6,10,60,6,1,204,862,249,10,2,1,51,22,749,337,45,71
Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,12,0,0,4,8,1,11,0,0,,0,0,6,25,6,0,0,0,0,0,9,8,88.9,1
João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,3714,74,608,1993,1373,119,3387,53,105,50.5,59,12,2705,11821,6458,364,138,35,28,29,2831,2719,96,127
Sergi Canós,es ESP,DF,Brentford,24,1997,23.1,1036,69,286,466,357,56,986,24,49,49,26,5,663,3683,2207,113,34,11,26,36,769,605,78.7,68
Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,215,5,50,109,70,7,210,5,11,45.5,5,0,159,608,289,15,4,0,12,12,205,150,73.2,18
Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,2069,158,725,892,575,100,1734,21,36,58.3,23,3,1107,6756,3573,148,44,26,27,49,1159,1033,89.1,105
Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,1565,106,568,755,324,23,1370,13,19,68.4,13,0,867,3430,1764,76,27,2,27,18,1044,932,89.3,56
Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,739,24,205,373,205,22,646,12,21,57.1,12,1,476,2160,1216,58,12,5,18,23,513,479,93.4,35
Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,1176,210,674,488,60,10,1125,0,1,0,0,0,559,2216,1007,13,3,0,2,4,646,624,96.6,3
Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,296,13,52,131,122,32,290,4,5,80,4,0,163,390,107,8,4,2,14,3,374,219,58.6,43
Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,3,0,0,2,2,0,3,0,0,,0,0,3,40,29,1,1,0,1,0,4,3,75,0
Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,1425,77,500,846,155,10,1395,11,15,73.3,11,0,1040,3946,1900,69,31,0,1,6,1075,1053,98,2
Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,570,116,338,223,31,7,557,1,2,50,1,0,329,1522,842,19,3,0,0,1,361,350,97,1
Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,122,17,49,61,17,1,108,0,0,,0,0,71,239,106,4,2,0,1,2,73,71,97.3,0
Daniel Chesters,eng ENG,MF,West Ham,19,2002,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6,422,9,93,144,203,28,348,2,5,40,3,0,241,1089,518,23,4,5,11,3,296,257,86.8,30
Chiquinho,pt POR,DFMF,Wolves,21,2000,2.3,153,2,22,57,84,16,145,8,12,66.7,8,0,102,418,248,14,3,1,6,11,125,102,81.6,22
Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,207,18,98,111,6,1,196,1,3,33.3,2,0,111,317,98,1,0,0,2,3,134,122,91,0
Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,1451,160,675,780,78,6,1407,6,6,100,6,0,988,4427,2387,61,17,0,2,1,1047,1032,98.6,2
Carney Chukwuemeka,lk SRI,MFFW,Aston Villa,17,2003,3.3,160,3,25,84,60,14,159,3,9,33.3,5,0,131,674,330,20,5,6,10,5,158,122,77.2,17
Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,449,78,260,171,35,22,442,3,4,75,3,0,249,1151,507,13,4,0,4,0,265,251,94.7,4
Tom Cleverley,eng ENG,MF,Watford,31,1989,18,781,36,168,383,253,9,707,4,8,50,4,1,382,1337,571,18,9,3,12,11,542,442,81.5,36
Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15,825,46,316,405,151,2,666,3,4,75,3,0,436,2145,1068,30,9,0,7,3,483,445,92.1,11
Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,1930,470,1331,668,33,18,1890,1,2,50,2,0,1183,6291,2904,34,1,0,2,2,1344,1330,99,3
Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,1550,128,539,724,377,41,1284,26,44,59.1,29,0,839,4662,2319,87,28,8,18,26,806,712,88.3,45
Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,874,151,449,378,84,38,849,3,8,37.5,4,0,392,2338,1001,26,6,1,7,4,399,372,93.2,8
Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,34,0,0,14,21,4,33,0,1,0,0,0,22,132,42,3,0,0,3,1,65,22,33.8,7
Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,1351,196,893,494,31,12,1315,3,3,100,3,0,759,4089,2294,20,2,0,6,3,822,807,98.2,2
Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,723,44,136,469,143,10,717,10,13,76.9,11,0,408,1528,643,31,11,1,11,18,464,398,85.8,11
Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,681,19,97,237,390,90,635,13,44,29.5,16,1,402,1837,1050,51,18,10,50,37,842,436,51.8,133
Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,6,0,1,3,2,0,6,0,0,,0,0,2,6,0,0,0,0,0,0,8,5,62.5,0
Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,1668,108,484,691,591,28,1380,13,28,46.4,14,0,848,4589,2281,93,39,7,17,17,982,881,89.7,47
Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,824,8,89,452,355,52,788,27,42,64.3,28,6,629,3264,1962,114,44,13,38,25,774,637,82.3,68
Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,2291,143,709,1097,612,29,1948,3,13,23.1,3,3,1400,5955,2964,110,47,2,9,11,1520,1465,96.4,29
Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,120,20,79,47,4,1,119,1,1,100,1,0,72,552,353,3,0,0,2,0,78,78,100,1
Cucho,co COL,FWMF,Watford,22,1999,12.7,557,17,90,229,284,38,513,23,42,54.8,25,0,366,1967,1081,55,19,7,28,17,531,359,67.6,56
Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,2691,125,752,1192,928,66,2330,31,59,52.5,35,8,1672,8189,5158,206,64,9,25,32,1814,1637,90.2,68
Luke Cundle,eng ENG,MF,Wolves,19,2002,2,118,5,34,65,27,1,115,0,1,0,0,0,83,333,160,8,4,0,0,1,92,87,94.6,4
Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,382,10,36,184,174,58,360,3,18,16.7,6,0,210,647,345,21,6,4,38,23,523,250,47.8,72
Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,2052,105,684,986,539,33,1728,20,39,51.3,21,3,1146,6654,3857,154,58,12,20,38,1251,1101,88,65
Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20,1402,90,461,678,339,28,1222,16,28,57.1,18,2,841,3969,2350,98,24,9,22,15,887,824,92.9,42
Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,269,223,265,4,0,0,170,0,0,,0,0,95,546,294,0,0,0,0,0,94,93,98.9,0
Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,131,11,35,63,43,6,128,7,10,70,8,0,93,635,390,14,6,3,6,6,95,72,75.8,9
Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,1854,169,759,960,277,34,1775,8,11,72.7,8,1,1240,7311,4438,173,61,2,10,10,1373,1316,95.8,30
Tom Davies,eng ENG,MF,Everton,23,1998,2.6,120,11,31,58,34,8,119,2,3,66.7,3,0,66,259,112,4,0,1,3,1,85,71,83.5,9
Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,7,0,0,5,2,0,7,0,0,,0,0,6,5,1,0,0,0,2,1,11,7,63.6,2
Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,1541,286,854,695,74,42,1513,2,2,100,2,0,850,4229,1975,48,7,0,2,6,954,933,97.8,6
Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,1822,27,149,736,1061,122,1653,24,42,57.1,24,1,1248,6188,4004,205,81,22,34,32,1552,1364,87.9,170
Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,11,2,2,1,8,5,11,0,0,,0,0,3,7,4,0,0,0,1,0,18,9,50,7
Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,1,0,0,1,0,0,1,0,0,,0,0,1,2,0,0,0,0,0,0,3,1,33.3,0
Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,384,23,105,242,54,0,381,6,7,85.7,6,0,250,1013,382,14,1,0,9,2,239,228,95.4,6
Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,1013,61,289,540,230,37,1000,7,14,50,7,1,576,2343,907,28,11,1,18,8,769,652,84.8,49
Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,1101,26,154,472,580,140,1061,73,164,44.5,80,21,823,4369,2877,140,43,45,78,75,1172,737,62.9,150
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,23.4,1509,48,330,792,510,43,1464,26,45,57.8,29,1,1061,6527,3689,144,55,6,39,50,1234,1083,87.8,95
Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,543,21,98,330,149,10,540,19,26,73.1,23,1,375,1924,983,48,17,1,11,15,431,366,84.9,16
Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,2427,178,877,1634,111,32,2380,2,5,40,2,1,1792,10636,6630,239,22,0,5,2,1981,1952,98.5,8
Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,595,3,34,235,365,87,594,32,48,66.7,34,0,499,2775,1533,91,16,23,24,30,618,475,76.9,110
Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,2535,469,1483,1150,59,20,2479,0,2,0,1,0,1668,9307,5223,107,13,1,3,2,1928,1903,98.7,5
Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,986,64,284,359,396,27,797,4,13,30.8,7,2,531,2435,1341,56,23,3,10,17,606,541,89.3,54
Lucas Digne,fr FRA,DF,Everton,28,1993,13,823,52,273,318,284,15,666,6,12,50,6,0,399,2075,1141,47,25,2,8,10,429,385,89.7,21
Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,568,92,334,260,10,5,555,0,0,,0,0,305,1927,934,19,2,0,1,1,353,344,97.5,0
Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,252,7,46,98,120,29,252,13,27,48.1,14,1,186,1058,748,34,6,9,19,15,194,156,80.4,20
Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,13,0,3,7,5,2,13,0,1,0,0,0,11,81,43,1,0,1,1,1,21,8,38.1,3
Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,644,33,184,280,210,37,582,6,9,66.7,6,0,410,1991,1192,65,12,9,11,8,461,425,92.2,40
Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34,2300,370,1195,1174,107,42,2248,3,3,100,3,0,1610,9846,5517,144,24,0,8,3,1745,1705,97.7,8
Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,1389,74,350,749,365,49,1372,19,39,48.7,20,0,824,4095,2244,88,31,7,30,19,917,779,85,61
Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,10.1,421,6,65,189,196,17,389,4,9,44.4,5,0,268,1255,554,26,11,3,14,15,404,292,72.3,51
Cody Drameh,eng ENG,DF,Leeds United,19,2001,1.4,94,3,37,44,22,2,68,2,4,50,2,0,45,282,163,9,4,0,0,1,46,42,91.3,2
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,897,728,888,12,0,0,561,0,0,,0,0,387,2277,1186,0,0,0,0,0,325,325,100,0
Shane Duffy,ie IRL,DF,Brighton,29,1992,16,1192,193,722,468,61,26,1172,2,2,100,2,0,704,2879,1502,28,6,0,3,1,859,840,97.8,2
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,91,7,37,45,14,0,73,0,0,,0,0,41,151,72,4,2,0,0,0,37,36,97.3,0
Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,2123,330,1245,912,86,32,2067,5,6,83.3,6,0,1374,7109,3353,41,10,0,7,4,1575,1548,98.3,1
Ederson,br BRA,GK,Manchester City,27,1993,37,1148,953,1138,12,0,0,974,0,0,,0,0,717,2840,1749,0,0,0,0,0,722,717,99.3,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,683,18,73,321,337,90,662,23,56,41.1,27,3,430,2174,1395,71,21,9,47,45,838,486,58,123
CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0,1,1,1,0,0,0,1,0,0,,0,0,1,20,2,0,0,0,0,0,0,0,,0
Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,622,12,124,232,308,64,610,15,39,38.5,18,0,439,2020,1114,48,18,12,33,17,611,449,73.5,86
Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,301,1,25,140,159,22,293,2,7,28.6,2,0,220,1126,672,38,15,2,8,2,245,226,92.2,33
Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9,625,40,166,395,105,4,610,0,1,0,0,0,426,1844,791,24,3,1,4,2,473,455,96.2,4
Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,22.7,954,33,134,422,475,94,949,18,37,48.6,23,4,629,3779,1991,112,44,13,44,52,840,620,73.8,114
Emerson,br BRA,DF,Tottenham,22,1999,25.4,1774,112,577,706,582,66,1528,18,27,66.7,18,0,1022,4568,2506,126,35,10,17,30,1147,1015,88.5,89
Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,743,20,143,395,247,14,628,7,17,41.2,7,1,442,2225,1290,53,17,3,11,10,547,481,87.9,23
Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,194,14,66,123,18,0,185,4,6,66.7,4,0,151,650,292,10,2,0,1,4,122,116,95.1,3
Jonny Evans,nir NIR,DF,Leicester City,33,1988,15,1106,181,631,487,40,11,1070,1,2,50,1,0,684,3133,1564,34,4,0,3,1,739,721,97.6,2
Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,6.7,387,4,45,218,153,10,356,12,20,60,12,0,278,1464,771,33,12,3,14,15,324,266,82.1,42
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,1078,996,1076,2,0,0,732,0,0,,0,0,440,2341,1215,0,0,0,0,0,414,410,99,0
Fabinho,br BRA,MF,Liverpool,27,1993,25.7,1786,49,378,1157,331,21,1751,8,11,72.7,8,0,1132,4499,2154,106,23,3,24,16,1256,1208,96.2,36
Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,1424,117,468,582,447,13,1121,8,17,47.1,8,2,693,3664,1783,79,34,3,18,10,731,663,90.7,19
Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,9,0,0,1,8,0,9,0,0,,0,0,4,7,0,0,0,0,1,0,11,8,72.7,0
Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,5,0,4,1,0,0,3,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,100,0
Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,2422,68,385,1153,1035,114,2236,23,51,45.1,27,5,1641,7564,4247,210,75,23,38,48,2134,1776,83.2,202
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,533,440,528,7,0,0,416,0,0,,0,0,268,1204,730,0,0,0,0,0,273,273,100,0
Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,5.8,267,59,176,93,12,10,260,0,0,,0,0,170,845,506,0,0,0,0,1,178,174,97.8,2
Fernandinho,br BRA,MFDF,Manchester City,36,1985,10.7,906,38,185,619,157,18,902,8,9,88.9,8,0,697,3121,1510,65,14,0,8,9,740,720,97.3,16
Roberto Firmino,br BRA,FW,Liverpool,29,1991,11,669,4,52,333,328,74,653,17,32,53.1,19,2,452,2031,1050,71,29,4,30,26,690,506,73.3,142
Junior Firpo,es ESP,DF,Leeds United,24,1996,19,1161,66,378,566,295,40,1010,10,21,47.6,10,1,677,3380,2177,97,28,2,15,12,726,659,90.8,47
