Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,3-Jan,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Max Aarons,eng ENG,DF,Norwich City,21,2000,32,1854,161,746,763,481,29,1528,33,78,42.3,35,6,1084,6382,3893,174,53,13,27,30,1153,1037,89.9,41
Che Adams,sct SCO,FW,Southampton,25,1996,22.7,766,27,93,332,375,102,750,14,33,42.4,17,0,474,1884,833,46,17,11,52,48,1024,542,52.9,160
Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,1281,64,460,492,398,47,1071,40,73,54.8,44,2,781,3704,2300,118,22,17,31,32,820,729,88.9,60
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,1108,117,462,534,184,31,959,11,17,64.7,11,0,562,3385,2047,73,27,2,13,11,595,534,89.7,18
Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,936,67,351,546,115,9,896,0,2,0,0,0,680,3560,2226,74,13,0,2,1,754,724,96,2
Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,688,35,157,316,251,12,588,16,37,43.2,18,4,411,1733,810,32,12,2,14,12,510,402,78.8,31
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17,1666,37,262,1113,395,26,1650,15,24,62.5,15,0,1238,5540,2957,163,47,4,10,14,1317,1264,96,48
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,3009,77,604,1411,1129,89,2459,26,44,59.1,26,0,1723,6044,3315,156,66,11,24,26,2017,1879,93.2,123
Alisson,br BRA,GK,Liverpool,28,1992,36,1462,1097,1450,15,0,0,1230,2,3,66.7,2,0,833,2944,1615,0,0,0,1,0,835,829,99.3,0
Allan,br BRA,MF,Everton,30,1991,24.3,1235,81,338,759,210,11,1175,16,24,66.7,16,3,763,3839,2018,106,28,2,19,31,710,657,92.5,19
Dele Alli,eng ENG,MF,Everton,25,1996,3.8,232,15,47,124,76,17,221,4,10,40,4,1,142,659,352,13,6,1,11,14,172,135,78.5,22
Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,331,23,87,172,97,20,321,5,18,27.8,7,2,213,908,446,17,6,0,12,18,262,199,76,31
Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,742,22,147,308,344,56,735,18,37,48.6,24,2,524,3263,1485,77,18,11,29,33,661,476,72,62
Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,1787,75,450,648,776,77,1491,19,39,48.7,20,2,1047,4917,2570,123,29,11,27,32,1182,1037,87.7,110
Steven Alzate,co COL,MF,Brighton,22,1998,4.5,287,16,81,168,56,4,285,5,6,83.3,5,1,185,759,403,20,8,1,5,4,188,175,93.1,7
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,1702,269,912,821,61,6,1677,6,8,75,6,0,1176,5166,2940,60,19,0,4,2,1263,1236,97.9,1
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,2506,490,1555,1008,85,33,2425,6,8,75,6,0,1581,8962,4315,64,5,2,2,8,1807,1787,98.9,2
Michail Antonio,jm JAM,FW,West Ham,31,1990,33,1190,20,74,479,718,176,1152,45,94,47.9,49,4,867,4398,2550,133,40,31,131,88,1673,898,53.7,264
Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,0.3,12,0,1,2,9,3,12,1,2,50,1,0,7,15,0,0,0,0,0,1,9,6,66.7,2
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,42,40,42,0,0,0,25,0,0,,0,0,17,48,12,0,0,0,0,0,20,20,100,0
Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,489,8,40,200,289,82,458,19,38,50,20,1,340,1933,1062,64,19,18,34,25,651,348,53.5,109
Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,938,25,132,442,452,56,907,26,57,45.6,28,3,717,4564,2337,122,47,13,26,25,767,672,87.6,78
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,149,130,149,0,0,0,120,0,0,,0,0,85,253,117,0,0,0,0,0,81,81,100,0
Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,9,1,3,1,5,0,8,0,0,,0,0,4,21,5,1,0,0,0,0,8,6,75,0
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,322,5,34,141,167,55,313,2,6,33.3,3,0,169,1024,600,29,11,9,20,5,443,225,50.8,56
Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,1134,17,164,596,488,83,1122,38,72,52.8,41,6,871,5294,3073,146,50,24,69,81,1077,810,75.2,97
Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,1861,233,955,770,271,36,1696,25,41,61,27,6,1114,6509,3840,105,30,3,24,20,1198,1134,94.7,32
César Azpilicueta,es ESP,DF,Chelsea,31,1989,23,1958,120,605,946,502,52,1808,15,20,75,15,1,1240,5111,2994,156,38,8,15,8,1464,1388,94.8,54
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,394,338,392,3,0,0,272,1,1,100,1,0,170,926,587,0,0,0,0,0,146,145,99.3,0
Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,355,8,42,126,216,35,334,14,23,60.9,15,1,268,1606,879,58,11,10,26,31,331,246,74.3,56
Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,113,26,73,41,3,0,109,0,2,0,0,0,62,313,142,5,0,0,1,3,54,53,98.1,0
Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,23,1,3,10,12,6,23,0,2,0,0,0,16,50,16,1,0,1,4,2,34,17,50,7
Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,175,11,23,80,83,36,159,4,8,50,5,0,104,462,210,12,2,3,18,6,259,115,44.4,37
Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,412,16,91,223,137,20,409,14,19,73.7,14,0,298,1528,855,44,15,2,20,12,388,266,68.6,36
Ross Barkley,eng ENG,MF,Chelsea,27,1993,2,152,0,10,63,97,10,145,5,6,83.3,6,0,113,880,539,21,13,1,1,6,137,127,92.7,23
Ashley Barnes,eng ENG,FW,Burnley,31,1989,9,311,6,30,164,134,32,307,4,8,50,4,0,184,580,290,18,6,3,33,19,416,222,53.4,52
Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,1066,16,128,428,615,142,1059,31,81,38.3,37,6,829,5235,3549,198,58,43,54,49,1151,839,72.9,157
Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,79,4,27,47,10,0,79,1,3,33.3,1,1,57,259,76,2,1,0,7,5,61,50,82,2
Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,562,79,298,225,72,8,487,0,0,,0,0,297,1789,1118,20,5,0,1,1,332,323,97.3,3
Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,1786,239,870,914,81,30,1710,1,2,50,1,0,926,4166,1987,27,1,0,1,4,1001,979,97.8,4
Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,298,9,57,166,87,8,293,4,9,44.4,5,1,170,642,284,12,2,0,1,7,198,183,92.4,6
Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,53,2,19,21,15,4,53,3,4,75,3,0,31,59,23,2,0,1,1,4,41,30,73.2,5
Asmir Begović,ba BIH,GK,Everton,34,1987,3,96,91,96,0,0,0,59,0,0,,0,0,26,135,82,0,0,0,0,0,27,27,100,0
Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,1138,17,155,464,606,105,1117,34,81,42,40,8,886,4739,2593,129,30,26,50,48,1101,840,76.3,171
Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,1181,68,298,751,213,17,1164,13,18,72.2,13,0,857,4113,2088,79,20,2,7,15,928,887,95.6,23
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,462,38,63,209,208,89,442,9,19,47.4,11,1,228,1034,497,28,7,8,38,14,655,344,52.5,104
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,492,24,85,197,245,27,488,14,22,63.6,15,0,331,1682,815,37,16,5,17,18,383,302,78.9,58
Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,274,6,41,110,161,45,268,10,18,55.6,11,0,205,1257,860,36,18,9,14,21,316,209,66.1,64
Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,228,18,71,113,55,4,182,0,1,0,1,1,122,544,216,11,3,1,4,5,148,128,86.5,2
Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,23,2,9,13,2,0,23,0,1,0,0,0,11,37,17,1,1,0,1,2,11,9,81.8,1
Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,1484,100,432,870,304,16,1464,31,44,70.5,31,1,1024,5868,2771,102,41,4,28,30,1024,971,94.8,15
Willy Boly,ci CIV,DF,Wolves,30,1991,10,649,87,375,288,21,7,632,4,5,80,4,0,392,1715,835,20,6,0,2,2,425,412,96.9,0
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,1276,31,172,492,701,158,1167,27,66,40.9,29,2,846,5414,2450,130,32,32,61,67,1277,805,63,191
Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,154,26,74,81,7,3,148,1,1,100,1,0,83,321,191,2,2,0,1,4,77,71,92.2,0
Armando Broja,al ALB,FW,Southampton,19,2001,21.9,697,14,53,307,384,108,692,31,64,48.4,34,4,435,2619,1623,79,23,31,61,62,1061,508,47.9,120
