Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Lewis Dunk,eng ENG,DF,Brighton,29,1991,29,29,2573,28.6,1,0,1,0,0,3,1,0.03,0,0.03,0.03,0.03,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05
Ederson,br BRA,GK,Manchester City,27,1993,37,37,3330,37,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0
Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,28,18,1564,17.4,6,3,5,1,1,4,0,0.35,0.17,0.52,0.29,0.46,6.6,5.8,2.3,8.1,0.38,0.13,0.51,0.34,0.47
CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,21,14,1214,13.5,2,2,2,0,0,0,0,0.15,0.15,0.3,0.15,0.3,3,3,1.8,4.8,0.22,0.14,0.35,0.22,0.35
Harvey Elliott,eng ENG,MF,Liverpool,18,2003,6,4,346,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.5,1.4,0.23,0.12,0.35,0.23,0.35
Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,14,8,806,9,0,2,0,0,0,1,0,0,0.22,0.22,0,0.22,0.2,0.2,0.6,0.7,0.02,0.06,0.08,0.02,0.08
Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,30,23,2042,22.7,4,2,4,0,0,4,0,0.18,0.09,0.26,0.18,0.26,6,6,2.5,8.5,0.26,0.11,0.37,0.26,0.37
Emerson,br BRA,DF,Tottenham,22,1999,31,26,2286,25.4,1,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,1.5,1.5,2.1,3.6,0.06,0.08,0.14,0.06,0.14
Christian Eriksen,dk DEN,MF,Brentford,29,1992,11,10,939,10.4,1,4,1,0,0,1,0,0.1,0.38,0.48,0.1,0.48,1.4,1.4,3.6,5,0.14,0.34,0.48,0.14,0.48
Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,9,4,401,4.5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.01,0.02,0.01,0.02
Jonny Evans,nir NIR,DF,Leicester City,33,1988,18,16,1348,15,1,1,1,0,0,3,0,0.07,0.07,0.13,0.07,0.13,0.7,0.7,0.6,1.3,0.05,0.04,0.09,0.05,0.09
Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,13,6,605,6.7,1,1,1,0,0,1,0,0.15,0.15,0.3,0.15,0.3,0.5,0.5,0.9,1.4,0.08,0.13,0.21,0.08,0.21
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,37,3330,37,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabinho,br BRA,MF,Liverpool,27,1993,29,26,2314,25.7,5,1,3,2,2,7,0,0.19,0.04,0.23,0.12,0.16,3.4,1.9,1.4,3.3,0.13,0.05,0.19,0.07,0.13
Kiko Femenía,es ESP,DF,Watford,30,1991,27,26,2142,23.8,0,5,0,0,0,2,0,0,0.21,0.21,0,0.21,0.1,0.1,3.2,3.3,0,0.14,0.14,0,0.14
Evan Ferguson,ie IRL,MF,Brighton,16,2004,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,36,35,3111,34.6,10,6,10,0,2,10,0,0.29,0.17,0.46,0.29,0.46,9.7,8.2,8.4,16.6,0.28,0.24,0.53,0.24,0.48
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,12,1080,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,7,5,523,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.8,0.07,0.06,0.13,0.07,0.13
Fernandinho,br BRA,MFDF,Manchester City,36,1985,19,10,964,10.7,2,1,2,0,0,1,0,0.19,0.09,0.28,0.19,0.28,1.6,1.6,0.9,2.5,0.15,0.08,0.24,0.15,0.24
Roberto Firmino,br BRA,FW,Liverpool,29,1991,20,10,990,11,5,4,5,0,0,3,0,0.45,0.36,0.82,0.45,0.82,5,5,2.4,7.4,0.45,0.22,0.67,0.45,0.67
Junior Firpo,es ESP,DF,Leeds United,24,1996,24,19,1711,19,0,2,0,0,0,11,0,0,0.11,0.11,0,0.11,0.9,0.9,2.6,3.5,0.05,0.13,0.18,0.05,0.18
Ashley Fletcher,eng ENG,FW,Watford,25,1995,3,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1.16,0,1.16,1.16,1.16
Phil Foden,eng ENG,FW,Manchester City,21,2000,28,24,2128,23.6,9,5,9,0,0,1,0,0.38,0.21,0.59,0.38,0.59,9.1,9.1,6.4,15.6,0.39,0.27,0.66,0.39,0.66
Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,7,630,7,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.3,0.03,0,0.04,0.03,0.04
Pablo Fornals,es ESP,FWMF,West Ham,25,1996,36,32,2795,31.1,6,3,6,0,0,4,0,0.19,0.1,0.29,0.19,0.29,4.7,4.7,5.6,10.3,0.15,0.18,0.33,0.15,0.33
Adam Forshaw,eng ENG,MF,Leeds United,29,1991,22,17,1530,17,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,0.4,0.4,1.1,1.5,0.02,0.06,0.09,0.02,0.09
Marcus Forss,fi FIN,FWMF,Brentford,22,1999,7,1,209,2.3,0,1,0,0,0,0,0,0,0.43,0.43,0,0.43,0.2,0.2,0,0.2,0.1,0,0.1,0.1,0.1
Fraser Forster,eng ENG,GK,Southampton,33,1988,19,19,1710,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Foster,eng ENG,GK,Watford,38,1983,26,26,2340,26,0,1,0,0,0,0,0,0,0.04,0.04,0,0.04,0,0,0.2,0.2,0,0.01,0.01,0,0.01
Tariqe Fosu,gh GHA,DF,Brentford,25,1995,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0,0.16,0.16,0.16
Ryan Fraser,sct SCO,FWMF,Newcastle Utd,27,1994,27,18,1465,16.3,2,3,2,0,0,3,0,0.12,0.18,0.31,0.12,0.31,2.8,2.8,2.2,5.1,0.17,0.14,0.31,0.17,0.31
Fred,br BRA,MF,Manchester Utd,28,1993,28,24,2028,22.5,4,4,4,0,0,5,0,0.18,0.18,0.36,0.18,0.36,1.5,1.5,2,3.4,0.07,0.09,0.15,0.07,0.15
Ryan Fredericks,eng ENG,DF,West Ham,28,1992,7,3,307,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0.03,0,0.03
Leo Fuhr Hjelde,no NOR,DF,Leeds United,17,2003,2,0,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02
Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,34,33,2845,31.6,8,3,8,0,0,10,0,0.25,0.09,0.35,0.25,0.35,5.7,5.7,3.5,9.2,0.18,0.11,0.29,0.18,0.29
Alejandro Garnacho,es ESP,FW,Manchester Utd,17,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight Gayle,eng ENG,FW,Newcastle Utd,30,1990,8,0,38,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.5,0.8,0.71,1.19,1.89,0.71,1.89
Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,3,1,67,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
David de Gea,es ESP,GK,Manchester Utd,30,1990,38,38,3420,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,20,5,746,8.3,2,2,2,0,0,4,0,0.24,0.24,0.48,0.24,0.48,3.1,3.1,1.5,4.7,0.38,0.19,0.56,0.38,0.56
Anwar El Ghazi,nl NED,FWMF,Aston Villa,26,1995,9,4,386,4.3,1,1,0,1,1,2,0,0.23,0.23,0.47,0,0.23,1.1,0.3,0.4,0.7,0.25,0.09,0.33,0.07,0.16
Anwar El Ghazi,nl NED,FW,Everton,26,1995,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saman Ghoddos,ir IRN,DFMF,Brentford,27,1993,17,4,536,6,1,1,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,0.6,0.6,1.2,1.9,0.11,0.21,0.32,0.11,0.32
Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,18,14,1169,13,0,1,0,0,0,2,0,0,0.08,0.08,0,0.08,0.1,0.1,0.5,0.6,0.01,0.04,0.05,0.01,0.05
Morgan Gibbs-White,eng ENG,FWMF,Wolves,21,2000,2,0,9,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,1.22,0,1.22,1.22,1.22
Ben Gibson,eng ENG,DF,Norwich City,28,1993,28,28,2494,27.7,0,0,0,0,0,5,1,0,0,0,0,0,1.2,1.2,0,1.2,0.04,0,0.04,0.04,0.04
Billy Gilmour,sct SCO,MF,Norwich City,20,2001,24,21,1855,20.6,0,1,0,0,0,2,0,0,0.05,0.05,0,0.05,1,1,2,3,0.05,0.1,0.14,0.05,0.14
Ben Godfrey,eng ENG,DF,Everton,23,1998,23,23,2029,22.5,0,0,0,0,0,6,0,0,0,0,0,0,1.1,1.1,0.7,1.8,0.05,0.03,0.08,0.05,0.08
André Gomes,pt POR,MF,Everton,28,1993,14,7,619,6.9,0,1,0,0,0,3,0,0,0.15,0.15,0,0.15,0.7,0.7,0.2,0.9,0.1,0.03,0.13,0.1,0.13
Toti Gomes,pt POR,DF,Wolves,22,1999,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01
Joe Gomez,eng ENG,DF,Liverpool,24,1997,8,4,331,3.7,0,1,0,0,0,2,0,0,0.27,0.27,0,0.27,0,0,0.5,0.5,0,0.13,0.13,0,0.13
Charlie Goode,eng ENG,DF,Brentford,25,1995,6,4,450,5,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0.03,0.07,0.1,0.03,0.1
Anthony Gordon,eng ENG,MFFW,Everton,20,2001,35,25,2285,25.4,4,2,4,0,0,4,0,0.16,0.08,0.24,0.16,0.24,3.3,3.3,3.3,6.6,0.13,0.13,0.26,0.13,0.26
Kaide Gordon,eng ENG,FW,Liverpool,16,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,4.48,0,4.48,4.48,4.48
Dan Gosling,eng ENG,MF,Watford,31,1990,4,2,166,1.8,1,0,1,0,0,0,0,0.54,0,0.54,0.54,0.54,0.2,0.2,0,0.2,0.1,0.01,0.11,0.1,0.11
Demarai Gray,eng ENG,MFFW,Everton,25,1996,34,28,2338,26,5,4,5,0,0,3,0,0.19,0.15,0.35,0.19,0.35,4.5,4.5,4.3,8.8,0.17,0.17,0.34,0.17,0.34
Jack Grealish,eng ENG,FW,Manchester City,25,1995,26,22,1914,21.3,3,3,3,0,0,3,0,0.14,0.14,0.28,0.14,0.28,4.7,4.7,6.3,11.1,0.22,0.3,0.52,0.22,0.52
Mason Greenwood,eng ENG,FWMF,Manchester Utd,19,2001,18,16,1271,14.1,5,1,5,0,0,1,0,0.35,0.07,0.42,0.35,0.42,4.4,4.4,1.6,6,0.31,0.11,0.42,0.31,0.42
Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,7,1,237,2.6,0,2,0,0,0,0,0,0,0.76,0.76,0,0.76,0.4,0.4,0.7,1.1,0.14,0.28,0.42,0.14,0.42
Pascal Groß,de GER,MFDF,Brighton,30,1991,29,24,2038,22.6,2,4,2,0,1,1,0,0.09,0.18,0.26,0.09,0.26,2.9,2.2,5.3,7.5,0.13,0.24,0.37,0.1,0.33
Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,30,30,2655,29.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,36,36,3222,35.8,2,1,2,0,0,4,0,0.06,0.03,0.08,0.06,0.08,1.9,1.9,0.5,2.4,0.05,0.01,0.07,0.05,0.07
Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,17,11,1034,11.5,5,1,5,0,0,4,0,0.44,0.09,0.52,0.44,0.52,2.9,2.9,1.8,4.7,0.25,0.16,0.41,0.25,0.41
İlkay Gündoğan,de GER,MF,Manchester City,30,1990,27,20,1857,20.6,8,4,8,0,0,1,0,0.39,0.19,0.58,0.39,0.58,8.6,8.6,4.3,12.8,0.41,0.21,0.62,0.41,0.62
Angus Gunn,eng ENG,GK,Norwich City,25,1996,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Hanley,sct SCO,DF,Norwich City,29,1991,33,33,2897,32.2,1,0,1,0,0,2,0,0.03,0,0.03,0.03,0.03,1.8,1.8,0.2,2,0.06,0.01,0.06,0.06,0.06
Jack Harrison,eng ENG,FWMF,Leeds United,24,1996,35,32,2639,29.3,8,1,8,0,0,3,0,0.27,0.03,0.31,0.27,0.31,4,4,2.6,6.6,0.14,0.09,0.23,0.14,0.23
Kortney Hause,eng ENG,DF,Aston Villa,26,1995,7,4,397,4.4,1,0,1,0,0,0,0,0.23,0,0.23,0.23,0.23,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Kai Havertz,de GER,FWMF,Chelsea,22,1999,29,22,1809,20.1,8,3,8,0,0,3,0,0.4,0.15,0.55,0.4,0.55,9.7,9.7,2,11.6,0.48,0.1,0.58,0.48,0.58
Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26,1995,14,12,1002,11.1,1,0,1,0,0,5,0,0.09,0,0.09,0.09,0.09,0.4,0.4,0.1,0.5,0.04,0.01,0.05,0.04,0.05
Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,30,20,1816,20.2,5,1,5,0,0,2,0,0.25,0.05,0.3,0.25,0.3,4,4,1.7,5.7,0.2,0.08,0.28,0.2,0.28
Jordan Henderson,eng ENG,MF,Liverpool,31,1990,35,29,2597,28.9,2,5,2,0,0,3,0,0.07,0.17,0.24,0.07,0.24,1.5,1.5,3.7,5.3,0.05,0.13,0.18,0.05,0.18
Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,3,0,72,0.8,1,0,1,0,0,0,0,1.25,0,1.25,1.25,1.25,0,0,0,0.1,0.04,0.06,0.1,0.04,0.1
Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.06,0.06,0,0.06
Rico Henry,eng ENG,DF,Brentford,24,1997,34,33,2776,30.8,3,0,3,0,0,2,0,0.1,0,0.1,0.1,0.1,1.8,1.8,1.7,3.5,0.06,0.06,0.11,0.06,0.11
Son Heung-min,kr KOR,FWMF,Tottenham,29,1992,35,35,3006,33.4,23,7,23,0,0,2,0,0.69,0.21,0.9,0.69,0.9,16.4,16.4,8.1,24.5,0.49,0.24,0.73,0.49,0.73
Ki-Jana Hoever,nl NED,DF,Wolves,19,2002,8,4,308,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02
Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,36,36,3196,35.5,2,2,2,0,0,3,0,0.06,0.06,0.11,0.06,0.11,2,2,2.5,4.5,0.06,0.07,0.13,0.06,0.13
Rob Holding,eng ENG,DF,Arsenal,25,1995,15,9,845,9.4,1,0,1,0,0,4,1,0.11,0,0.11,0.11,0.11,0.3,0.3,0,0.3,0.03,0,0.03,0.03,0.03
Mason Holgate,eng ENG,DF,Everton,24,1996,25,23,2134,23.7,2,1,2,0,0,7,1,0.08,0.04,0.13,0.08,0.13,1.1,1.1,0.1,1.1,0.05,0,0.05,0.05,0.05
Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,20,2000,15,11,962,10.7,1,2,1,0,0,1,0,0.09,0.19,0.28,0.09,0.28,2.1,2.1,2.3,4.4,0.2,0.21,0.41,0.2,0.41
Will Hughes,eng ENG,MF,Crystal Palace,26,1995,16,13,1053,11.7,0,1,0,0,0,6,0,0,0.09,0.09,0,0.09,0.1,0.1,0.6,0.8,0.01,0.05,0.07,0.01,0.07
Adam Idah,ie IRL,FWMF,Norwich City,20,2001,17,6,625,6.9,1,1,1,0,0,0,0,0.14,0.14,0.29,0.14,0.29,1.9,1.9,0.6,2.5,0.28,0.09,0.36,0.28,0.36
Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,26,13,1264,14,4,5,4,0,0,1,0,0.28,0.36,0.64,0.28,0.64,3.4,3.4,2.7,6.1,0.25,0.19,0.44,0.25,0.44
Danny Ings,eng ENG,FW,Aston Villa,29,1992,30,22,1898,21.1,7,6,6,1,1,4,0,0.33,0.28,0.62,0.28,0.57,7.4,6.6,2,8.6,0.35,0.1,0.44,0.31,0.41
Tim Iroegbunam,eng ENG,MF,Aston Villa,18,2003,3,1,92,1,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.13,0,0.13,0.13,0.13
Alex Iwobi,ng NGA,MFDF,Everton,25,1996,28,22,2035,22.6,2,2,2,0,0,1,0,0.09,0.09,0.18,0.09,0.18,1.7,1.7,2.8,4.5,0.07,0.13,0.2,0.07,0.2
Daniel James,wls WAL,FWMF,Leeds United,23,1997,32,29,2366,26.3,4,4,4,0,0,7,1,0.15,0.15,0.3,0.15,0.3,5.4,5.4,2.4,7.9,0.21,0.09,0.3,0.21,0.3
Daniel James,wls WAL,FW,Manchester Utd,23,1997,2,2,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,0.17,0.01,0.19,0.17,0.19
Reece James,eng ENG,DF,Chelsea,21,1999,26,22,1864,20.7,5,9,5,0,0,4,1,0.24,0.43,0.68,0.24,0.68,2.6,2.6,5.7,8.3,0.12,0.28,0.4,0.12,0.4
Vitaly Janelt,de GER,MF,Brentford,23,1998,31,27,2298,25.5,4,0,4,0,0,3,0,0.16,0,0.16,0.16,0.16,2.6,2.6,2.2,4.8,0.1,0.09,0.19,0.1,0.19
Pontus Jansson,se SWE,DF,Brentford,30,1991,37,37,3321,36.9,3,1,3,0,0,7,0,0.08,0.03,0.11,0.08,0.11,2.9,2.9,0.5,3.4,0.08,0.01,0.09,0.08,0.09
Mathias Jensen,dk DEN,MF,Brentford,25,1996,31,19,1601,17.8,0,1,0,0,0,0,0,0,0.06,0.06,0,0.06,2.5,2.5,3.6,6.1,0.14,0.2,0.34,0.14,0.34
Gabriel Jesus,br BRA,FW,Manchester City,24,1997,28,21,1877,20.9,8,8,7,1,1,1,0,0.38,0.38,0.77,0.34,0.72,10.1,9.3,5.3,14.7,0.48,0.26,0.74,0.45,0.7
Raúl Jiménez,mx MEX,FW,Wolves,30,1991,34,30,2631,29.2,6,4,5,1,1,9,2,0.21,0.14,0.34,0.17,0.31,6.6,6.1,2.7,8.7,0.23,0.09,0.32,0.21,0.3
João Pedro,br BRA,FWMF,Watford,19,2001,28,15,1644,18.3,3,1,3,0,0,1,0,0.16,0.05,0.22,0.16,0.22,4.2,4.2,2.6,6.8,0.23,0.14,0.37,0.23,0.37
Joelinton,br BRA,MFFW,Newcastle Utd,24,1996,35,30,2558,28.4,4,1,4,0,0,8,0,0.14,0.04,0.18,0.14,0.18,4.1,4.1,1.8,6,0.15,0.06,0.21,0.15,0.21
Ben Johnson,eng ENG,DF,West Ham,21,2000,20,16,1397,15.5,1,0,1,0,0,1,0,0.06,0,0.06,0.06,0.06,0.1,0.1,0.8,0.9,0.01,0.05,0.06,0.01,0.06
Curtis Jones,eng ENG,MF,Liverpool,20,2001,15,10,851,9.5,1,1,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,0.9,0.9,0.6,1.6,0.1,0.07,0.16,0.1,0.16
Phil Jones,eng ENG,DF,Manchester Utd,29,1992,4,2,163,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Mathias Jørgensen,dk DEN,DF,Brentford,31,1990,8,6,518,5.8,1,0,1,0,0,2,0,0.17,0,0.17,0.17,0.17,0.1,0.1,0.1,0.2,0.02,0.02,0.03,0.02,0.03
Jorginho,it ITA,MF,Chelsea,29,1991,29,26,2273,25.3,6,2,0,6,7,5,0,0.24,0.08,0.32,0,0.08,5.7,0.4,2.8,3.2,0.23,0.11,0.34,0.02,0.13
Diogo Jota,pt POR,FW,Liverpool,24,1996,35,27,2364,26.3,15,4,15,0,0,3,0,0.57,0.15,0.72,0.57,0.72,16,16,5.5,21.5,0.61,0.21,0.82,0.61,0.82
James Justin,eng ENG,DF,Leicester City,23,1998,13,11,998,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,1,1.6,0.06,0.09,0.14,0.06,0.14
Ozan Kabak,tr TUR,DF,Norwich City,21,2000,11,11,922,10.2,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.02,0,0.02,0.02,0.02
Christian Kabasele,be BEL,DF,Watford,30,1991,16,12,1193,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0.7,0.05,0,0.05,0.05,0.05
Samuel Kalu,ng NGA,FW,Watford,23,1997,4,2,222,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.4,0.12,0.06,0.18,0.12,0.18
Hassane Kamara,ci CIV,DF,Watford,27,1994,19,18,1623,18,1,0,1,0,0,5,1,0.06,0,0.06,0.06,0.06,0.2,0.2,0.4,0.6,0.01,0.02,0.03,0.01,0.03
Harry Kane,eng ENG,FW,Tottenham,28,1993,37,36,3232,35.9,17,9,13,4,4,5,0,0.47,0.25,0.72,0.36,0.61,20.1,17.1,9,26.1,0.56,0.25,0.81,0.48,0.73
N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,26,21,1773,19.7,2,4,2,0,0,2,0,0.1,0.2,0.3,0.1,0.3,1.8,1.8,2.3,4.2,0.09,0.12,0.21,0.09,0.21
Edo Kayembe,cd COD,MF,Watford,23,1998,13,9,799,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.02,0.03,0.06,0.02,0.06
Moise Kean,it ITA,FW,Everton,21,2000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Keane,eng ENG,DF,Everton,28,1993,32,31,2792,31,3,2,3,0,0,4,1,0.1,0.06,0.16,0.1,0.16,1.2,1.2,0.6,1.8,0.04,0.02,0.06,0.04,0.06
Naby Keïta,gn GUI,MF,Liverpool,26,1995,23,14,1173,13,3,1,3,0,0,3,0,0.23,0.08,0.31,0.23,0.31,2.3,2.3,1.6,3.9,0.18,0.13,0.3,0.18,0.3
Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenedy,br BRA,DF,Chelsea,25,1996,1,1,58,0.6,0,1,0,0,0,0,0,0,1.55,1.55,0,1.55,0.1,0.1,0.9,1,0.13,1.35,1.48,0.13,1.48
Jonjoe Kenny,eng ENG,DF,Everton,24,1997,15,11,1018,11.3,0,1,0,0,0,3,1,0,0.09,0.09,0,0.09,0.3,0.3,0.5,0.9,0.03,0.05,0.08,0.03,0.08
Max Kilman,eng ENG,DF,Wolves,24,1997,30,30,2687,29.9,1,0,1,0,0,3,0,0.03,0,0.03,0.03,0.03,1,1,0,1,0.03,0,0.03,0.03,0.03
Joshua King,no NOR,FW,Watford,29,1992,32,27,2248,25,5,3,4,1,1,5,0,0.2,0.12,0.32,0.16,0.28,8,7.2,3.2,10.4,0.32,0.13,0.45,0.29,0.42
Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Klich,pl POL,MF,Leeds United,31,1990,33,26,2073,23,1,2,1,0,0,5,0,0.04,0.09,0.13,0.04,0.13,2.8,2.8,2.2,4.9,0.12,0.09,0.21,0.12,0.21
Robin Koch,de GER,MFDF,Leeds United,25,1996,20,17,1574,17.5,0,0,0,0,0,3,0,0,0,0,0,0,0.7,0.7,0.5,1.3,0.04,0.03,0.07,0.04,0.07
Sead Kolašinac,ba BIH,DF,Arsenal,28,1993,2,1,91,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahima Konaté,fr FRA,DF,Liverpool,22,1999,11,11,990,11,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03
Ezri Konsa,eng ENG,DF,Aston Villa,23,1997,29,29,2477,27.5,2,0,2,0,0,6,2,0.07,0,0.07,0.07,0.07,1.5,1.5,0.3,1.7,0.05,0.01,0.06,0.05,0.06
Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,31,1989,27,23,1974,21.9,0,1,0,0,0,3,0,0,0.05,0.05,0,0.05,0.6,0.6,0.7,1.3,0.03,0.03,0.06,0.03,0.06
Mateo Kovačić,hr CRO,MF,Chelsea,27,1994,25,16,1558,17.3,2,5,2,0,0,4,0,0.12,0.29,0.4,0.12,0.4,1.8,1.8,3.6,5.5,0.11,0.21,0.32,0.11,0.32
Emil Krafth,se SWE,DF,Newcastle Utd,26,1994,20,18,1634,18.2,0,1,0,0,0,5,0,0,0.06,0.06,0,0.06,0.2,0.2,0.8,1,0.01,0.04,0.06,0.01,0.06
Alex Král,cz CZE,MF,West Ham,23,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Krul,nl NED,GK,Norwich City,33,1988,29,29,2610,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0,0.01,0.01,0,0.01
Juraj Kucka,sk SVK,MF,Watford,34,1987,26,22,1920,21.3,1,1,1,0,0,5,1,0.05,0.05,0.09,0.05,0.09,3.1,3.1,0.9,4,0.15,0.04,0.19,0.15,0.19
Dejan Kulusevski,se SWE,MFFW,Tottenham,21,2000,18,14,1261,14,5,8,5,0,0,3,0,0.36,0.57,0.93,0.36,0.93,3.4,3.4,3.5,6.9,0.24,0.25,0.5,0.24,0.5
Alexandre Lacazette,fr FRA,FWMF,Arsenal,30,1991,30,20,1782,19.8,4,7,2,2,3,0,0,0.2,0.35,0.56,0.1,0.45,7.9,5.6,2,7.6,0.4,0.1,0.5,0.28,0.38
Adam Lallana,eng ENG,MF,Brighton,33,1988,24,18,1561,17.3,0,1,0,0,0,4,0,0,0.06,0.06,0,0.06,1.2,1.2,0.7,1.9,0.07,0.04,0.11,0.07,0.11
