Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,31,13,9,12,10,5,25,20,20,295,89,30.2,73,118,104,26,1,0,25,10,41,6,0
Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,1,0,0,0,1,0,6,0,6,73,10,13.7,21,48,4,2,0,0,2,5,6,2,0
Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,12,7,10,2,0,5,6,83.3,1,73,29,39.7,45,22,6,10,6,0,4,9,21,28,0
Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,37,21,23,13,1,18,37,48.6,19,238,76,31.9,130,102,6,64,30,1,34,95,132,169,0
Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,15,9,8,6,1,6,15,40,9,100,26,26,27,52,21,7,3,0,4,9,24,5,0
Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,5,3,3,2,0,1,1,100,0,16,6,37.5,5,6,5,2,1,0,1,2,7,2,0
Asmir Begović,ba BIH,GK,Everton,34,1987,3,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,2,0
Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,35,23,16,13,6,16,38,42.1,22,377,94,24.9,108,187,82,22,1,0,21,12,47,7,0
Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,37,15,15,14,8,12,33,36.4,21,327,79,24.2,113,175,39,32,10,0,22,18,55,28,0
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,8,2,2,4,2,2,6,33.3,4,120,32,26.7,9,50,61,8,4,0,4,1,9,30,1
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,19,9,10,7,2,9,20,45,11,170,44,25.9,49,69,52,18,2,0,16,17,36,21,0
Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,5,4,2,1,2,1,7,14.3,6,84,16,19,15,34,35,4,0,0,4,4,9,9,0
Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,9,4,1,7,1,4,5,80,1,75,25,33.3,40,24,11,11,3,0,8,3,12,7,0
Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,4,2,2,2,0,0,2,0,2,19,8,42.1,12,7,0,1,0,0,1,1,5,2,0
Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,73,50,36,34,3,18,33,54.5,15,415,149,35.9,166,201,48,43,5,0,38,55,128,51,0
Willy Boly,ci CIV,DF,Wolves,30,1991,10,27,22,19,7,1,8,15,53.3,7,110,43,39.1,64,43,3,21,7,1,14,19,46,39,0
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,39,26,19,13,7,15,44,34.1,29,559,119,21.3,162,240,157,47,2,0,45,38,77,8,0
Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,3,2,3,0,0,1,7,14.3,6,41,16,39,29,12,0,7,2,0,5,8,11,16,0
Armando Broja,al ALB,FW,Southampton,19,2001,21.9,17,12,5,7,5,2,14,14.3,12,376,112,29.8,37,133,206,22,2,0,20,13,30,8,0
Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,73,41,25,42,6,15,46,32.6,31,540,168,31.1,168,271,101,51,16,0,35,79,152,49,0
Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,0,0,0,0,0,0,0,,0,5,0,0,0,3,2,1,0,0,1,0,0,0,0
Bryan,es ESP,FWMF,Tottenham,20,2001,1,4,3,2,0,2,3,6,50,3,38,12,31.6,10,6,22,2,0,0,2,0,4,0,0
Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,52,31,25,19,8,15,44,34.1,29,441,108,24.5,112,205,124,24,5,0,19,18,70,6,0
Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,24,15,12,8,4,6,18,33.3,12,140,45,32.1,61,63,16,29,12,0,17,32,56,52,2
Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,25,12,18,6,1,8,12,66.7,4,144,56,38.9,89,50,5,33,16,0,17,29,54,114,0
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,28,15,21,6,1,14,26,53.8,12,139,34,24.5,78,46,15,31,11,0,20,38,66,51,0
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,20,12,11,6,3,6,14,42.9,8,141,44,31.2,36,75,30,13,4,0,9,12,32,11,0
Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,14,11,2,5,7,2,6,33.3,4,198,49,24.7,11,93,94,11,3,0,8,6,20,12,0
Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,1,1,0,1,0,0,0,,0,1,1,100,0,1,0,0,0,0,0,0,1,0,0
João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,89,54,31,36,22,35,83,42.2,48,347,119,34.3,106,138,103,45,4,1,41,75,164,56,0
Sergi Canós,es ESP,DF,Brentford,24,1997,23.1,57,22,28,19,10,23,60,38.3,37,460,113,24.6,197,175,88,40,3,0,37,33,90,38,0
Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,15,11,8,6,1,4,14,28.6,10,106,25,23.6,39,46,21,2,0,0,2,4,19,3,0
Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,90,44,53,33,4,41,74,55.4,33,511,142,27.8,268,193,50,91,19,0,72,90,180,95,0
Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,66,29,33,26,7,23,44,52.3,21,349,108,30.9,150,152,47,53,8,0,45,38,104,65,2
Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,27,21,15,11,1,10,20,50,10,175,58,33.1,86,63,26,19,3,0,16,13,40,7,0
Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,33,15,26,7,0,16,34,47.1,18,165,51,30.9,117,45,3,55,32,0,23,38,71,129,2
Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,4,2,0,3,1,3,6,50,3,105,39,37.1,14,36,55,9,0,0,9,9,13,7,0
Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,0,0,0,0,0,0,0,,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0
Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,38,21,16,18,4,20,30,66.7,10,165,60,36.4,64,86,15,20,9,1,11,33,71,65,1
Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,20,11,11,7,2,5,7,71.4,2,94,31,33,50,40,4,21,10,0,11,11,31,59,0
Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,2,1,2,0,0,1,3,33.3,2,24,5,20.8,18,5,1,11,3,0,8,3,5,7,1
Daniel Chesters,eng ENG,MF,West Ham,19,2002,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6,10,5,3,6,1,0,5,0,5,92,31,33.7,34,36,22,10,0,0,10,6,16,15,1
Chiquinho,pt POR,DFMF,Wolves,21,2000,2.3,9,6,3,6,0,3,4,75,1,58,14,24.1,14,29,15,3,0,0,3,6,15,3,0
Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,8,2,3,5,0,2,5,40,3,42,6,14.3,15,24,3,5,0,0,5,16,24,12,0
Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,18,12,11,4,3,10,15,66.7,5,148,51,34.5,84,52,12,30,9,0,21,52,70,87,1
Carney Chukwuemeka,lk SRI,MFFW,Aston Villa,17,2003,3.3,3,2,1,2,0,2,6,33.3,4,86,25,29.1,23,48,15,3,0,0,3,4,7,1,0
Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,17,13,9,6,2,9,15,60,6,76,27,35.5,53,19,4,14,10,0,4,15,32,50,0
Tom Cleverley,eng ENG,MF,Watford,31,1989,18,34,27,18,12,4,10,32,31.3,22,372,106,28.5,116,190,66,28,7,1,21,27,61,19,1
Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15,22,11,9,12,1,7,15,46.7,8,128,43,33.6,64,45,19,10,2,0,8,33,55,31,0
Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,31,18,20,10,1,12,26,46.2,14,197,68,34.5,124,68,5,64,50,3,14,44,75,150,0
Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,72,42,41,20,11,29,47,61.7,18,336,124,36.9,159,130,47,59,13,0,46,54,126,75,1
Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,30,23,24,4,2,9,23,39.1,14,161,54,33.5,103,46,12,48,26,1,22,37,67,102,1
Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,0,0,0,0,0,0,1,0,1,27,5,18.5,4,11,12,2,0,0,2,0,0,0,0
Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,35,18,21,13,1,15,27,55.6,12,201,74,36.8,123,75,3,32,18,0,14,40,75,117,3
Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,17,8,4,10,3,5,24,20.8,19,343,94,27.4,107,176,60,26,5,0,21,34,51,27,0
Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,20,11,7,7,6,4,11,36.4,7,303,84,27.7,68,127,108,14,4,0,10,11,31,16,0
Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,0,0,0,0,0,0,2,0,2,9,2,22.2,1,5,3,0,0,0,0,0,0,0,0
Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,44,22,25,11,8,16,37,43.2,21,301,79,26.2,141,98,62,50,9,0,41,34,78,74,0
Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,20,11,5,8,7,7,14,50,7,221,48,21.7,51,110,60,17,1,0,16,8,28,3,0
Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,30,19,20,8,2,14,27,51.9,13,213,67,31.5,111,73,29,48,17,0,31,43,73,76,1
Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,7,3,4,3,0,3,3,100,0,29,5,17.2,14,15,0,2,1,0,1,4,11,10,0
Cucho,co COL,FWMF,Watford,22,1999,12.7,16,5,8,6,2,4,32,12.5,28,260,57,21.9,70,109,81,12,1,0,11,11,27,10,0
Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,88,62,36,38,14,48,77,62.3,29,534,201,37.6,215,218,101,72,15,2,57,72,160,66,0
Luke Cundle,eng ENG,MF,Wolves,19,2002,2,4,3,0,4,0,1,1,100,0,43,9,20.9,15,22,6,1,0,0,1,2,6,2,0
Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,17,11,4,9,4,1,13,7.7,12,233,77,33,19,100,114,11,0,0,11,3,20,8,0
Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,91,47,59,26,6,48,115,41.7,67,531,177,33.3,262,212,57,64,16,1,48,78,169,66,0
Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20,58,33,34,15,9,27,44,61.4,17,232,72,31,110,84,38,37,12,3,25,44,102,61,0
Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,4,2,1,1,2,2,6,33.3,4,55,12,21.8,14,28,13,8,1,0,7,4,8,7,0
Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,40,18,18,15,7,12,34,35.3,22,269,86,32,133,92,44,39,18,2,21,45,85,93,0
Tom Davies,eng ENG,MF,Everton,23,1998,2.6,4,2,1,2,1,1,5,20,4,49,13,26.5,19,21,9,4,1,0,3,8,12,7,0
Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,33,21,20,13,0,12,27,44.4,15,199,67,33.7,126,64,9,66,55,0,11,30,63,145,1
Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,22,14,3,10,9,10,41,24.4,31,361,98,27.1,46,149,166,34,2,0,32,14,36,18,0
Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,0,0,0,0,0,0,1,0,1,7,2,28.6,1,2,4,0,0,0,0,0,0,3,0
Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0
Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,19,13,8,9,2,6,22,27.3,16,127,39,30.7,35,77,15,13,5,0,8,19,38,9,0
Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,45,24,24,20,1,18,37,48.6,19,442,120,27.1,185,201,56,47,11,0,36,24,69,33,0
Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,46,28,24,14,8,13,42,31,29,563,146,25.9,124,249,190,35,2,0,33,25,71,14,0
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,23.4,40,25,24,12,4,13,35,37.1,22,468,113,24.1,155,183,130,46,8,0,38,27,67,28,1
Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,27,20,12,11,4,8,24,33.3,16,229,68,29.7,76,114,39,10,0,0,10,17,44,9,0
Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,34,27,12,18,4,7,16,43.8,9,153,68,44.4,57,78,18,28,13,0,15,38,72,78,1
Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,12,10,4,4,4,3,10,30,7,163,59,36.2,26,64,73,9,1,0,8,4,16,2,0
Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,25,13,11,11,3,4,13,30.8,9,181,70,38.7,93,79,9,56,38,1,18,47,72,168,0
Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,19,10,12,4,3,7,18,38.9,11,157,34,21.7,74,52,31,29,8,0,21,32,51,42,0
Lucas Digne,fr FRA,DF,Everton,28,1993,13,35,17,26,5,4,22,30,73.3,8,161,43,26.7,80,50,31,28,5,0,23,31,66,30,0
Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,9,3,4,5,0,2,10,20,8,72,28,38.9,41,30,1,23,15,0,8,17,26,44,0
Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,13,8,6,6,1,5,12,41.7,7,104,25,24,46,39,19,9,1,0,8,9,22,3,0
Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,2,2,0,1,1,0,2,0,2,19,5,26.3,4,7,8,0,0,0,0,1,3,0,0
Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,18,12,9,8,1,7,12,58.3,5,120,42,35,50,54,16,24,2,0,22,17,35,15,0
Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34,57,37,39,14,4,23,35,65.7,12,222,86,38.7,131,77,14,49,28,0,21,39,96,117,3
Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,76,45,37,36,3,26,70,37.1,44,656,179,27.3,248,308,100,42,8,0,34,41,117,33,0
Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,10.1,17,7,6,8,3,8,32,25,24,270,49,18.1,67,121,82,10,1,0,9,9,26,2,0
Cody Drameh,eng ENG,DF,Leeds United,19,2001,1.4,6,3,4,2,0,2,4,50,2,29,8,27.6,16,10,3,2,0,0,2,3,9,2,0
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,0,0,0,0,0,0,2,0,2,5,1,20,5,0,0,0,0,0,0,0,0,0,0
Shane Duffy,ie IRL,DF,Brighton,29,1992,16,16,9,12,1,3,5,13,38.5,8,85,19,22.4,50,31,4,35,19,1,16,18,34,91,1
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,9,4,6,2,1,5,8,62.5,3,31,12,38.7,15,13,3,3,0,0,3,4,13,9,1
Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,20,11,9,10,1,6,13,46.2,7,125,48,38.4,74,41,10,42,27,0,15,46,66,119,3
Ederson,br BRA,GK,Manchester City,27,1993,37,0,0,0,0,0,0,2,0,2,5,0,0,5,0,0,0,0,0,0,0,0,0,1
Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,17,13,2,7,8,2,19,10.5,17,354,106,29.9,45,146,163,24,5,0,19,10,27,17,0
CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0,1,1,1,0,0,1,1,100,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,25,17,12,10,3,8,26,30.8,18,289,80,27.7,93,124,72,24,2,0,22,19,44,6,0
Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,3,1,1,0,2,1,7,14.3,6,94,21,22.3,21,50,23,9,1,0,8,3,6,4,0
Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9,17,9,10,6,1,3,7,42.9,4,108,38,35.2,49,50,9,9,1,0,8,18,35,12,0
Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,22.7,46,33,14,24,8,10,31,32.3,21,499,156,31.3,144,235,120,37,4,0,33,19,65,24,0
Emerson,br BRA,DF,Tottenham,22,1999,25.4,86,39,56,24,6,28,60,46.7,32,500,126,25.2,245,177,78,56,4,0,52,35,121,79,0
Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,18,10,7,8,3,9,13,69.2,4,150,32,21.3,38,86,26,13,1,0,12,10,28,11,0
Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,12,10,5,7,0,4,7,57.1,3,65,22,33.8,29,32,4,5,1,0,4,8,20,6,0
Jonny Evans,nir NIR,DF,Leicester City,33,1988,15,27,18,18,7,2,16,28,57.1,12,123,49,39.8,77,41,5,22,13,0,9,31,58,61,0
Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,6.7,10,5,4,3,3,6,12,50,6,86,24,27.9,18,48,20,7,1,0,6,8,18,1,0
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,0,0,0,0,0,0,0,,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0
Fabinho,br BRA,MF,Liverpool,27,1993,25.7,57,37,17,33,7,19,62,30.6,43,413,131,31.7,126,225,62,51,10,0,41,56,113,30,0
Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,43,26,29,11,3,24,41,58.5,17,227,75,33,112,85,30,39,10,0,29,63,106,61,0
Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,59,45,30,22,7,24,74,32.4,50,610,172,28.2,120,290,200,29,0,0,29,38,97,40,3
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,2
Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,5.8,1,1,0,1,0,0,6,0,6,33,4,12.1,21,9,3,11,9,0,2,13,14,23,0
Fernandinho,br BRA,MFDF,Manchester City,36,1985,10.7,23,16,8,13,2,6,19,31.6,13,130,45,34.6,42,74,14,6,3,0,3,14,37,23,1
Roberto Firmino,br BRA,FW,Liverpool,29,1991,11,34,21,5,17,12,4,15,26.7,11,249,85,34.1,32,114,103,20,0,0,20,4,38,3,0
Junior Firpo,es ESP,DF,Leeds United,24,1996,19,73,38,41,27,5,33,68,48.5,35,356,103,28.9,184,130,42,37,8,1,29,33,106,46,0
Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,2,2,2,0,0,1,1,100,0,9,1,11.1,5,3,1,1,1,0,0,0,2,0,0
Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,19,15,8,5,6,7,10,70,3,410,135,32.9,44,132,234,12,2,0,10,17,36,1,0
Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,10,5,9,1,0,7,9,77.8,2,56,22,39.3,38,18,0,6,2,0,4,16,26,28,1
Pablo Fornals,es ESP,FWMF,West Ham,25,1996,31.1,51,34,22,18,11,26,87,29.9,61,664,179,27,190,299,175,52,3,0,49,47,98,16,0
Adam Forshaw,eng ENG,MF,Leeds United,29,1991,17,51,28,20,29,2,21,48,43.8,27,408,124,30.4,127,215,66,19,1,0,18,30,81,20,1
Marcus Forss,fi FIN,FWMF,Brentford,22,1999,2.3,4,2,0,3,1,2,4,50,2,70,21,30,11,29,30,3,0,0,3,2,6,0,0
Fraser Forster,eng ENG,GK,Southampton,33,1988,19,1,0,1,0,0,0,1,0,1,3,1,33.3,3,0,0,0,0,0,0,0,1,4,1
Ben Foster,eng ENG,GK,Watford,38,1983,26,0,0,0,0,0,0,3,0,3,7,1,14.3,7,0,0,0,0,0,0,0,0,6,2
Tariqe Fosu,gh GHA,DF,Brentford,25,1995,0.2,0,0,0,0,0,0,0,,0,5,0,0,0,2,3,1,0,0,1,0,0,0,0
