Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,1,12,4,33.3,1.19,0.4,0.08,0.25,18.9,0,0,0,0.7,0.7,0.06,0.3,0.3
Ross Barkley,eng ENG,MF,Chelsea,27,1993,2,1,9,4,44.4,4.53,2.01,0.11,0.25,20.9,0,0,0,1.2,1.2,0.13,-0.2,-0.2
Ashley Barnes,eng ENG,FW,Burnley,31,1989,9,1,15,5,33.3,1.67,0.56,0,0,16,0,1,1,1.8,1,0.07,-0.8,-1
Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,6,67,24,35.8,2.87,1.03,0.09,0.25,15.7,0,0,0,6.8,6.8,0.1,-0.8,-0.8
Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,0,1,0,0,0.62,0,0,,25,0,0,0,0,0,0.02,0,0
Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,0,2,0,0,0.22,0,0,,10.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,4,19,7,36.8,0.65,0.24,0.21,0.57,7.9,0,0,0,2.4,2.4,0.13,1.6,1.6
Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,1,5,1,20,0.93,0.19,0.2,1,19.4,0,0,0,0.9,0.9,0.18,0.1,0.1
Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,1,2,1,50,2.4,1.2,0.5,1,9.3,0,0,0,0.7,0.7,0.36,0.3,0.3
Asmir Begović,ba BIH,GK,Everton,34,1987,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,8,63,22,34.9,2.62,0.91,0.13,0.36,18.7,3,0,0,5,5,0.08,3,3
Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,0,14,2,14.3,0.93,0.13,0,0,18.6,0,0,0,0.9,0.9,0.06,-0.9,-0.9
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,4,39,13,33.3,3.07,1.02,0.1,0.31,11.4,0,0,0,5.4,5.4,0.14,-1.4,-1.4
