Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Max Aarons,eng ENG,DF,Norwich City,21,2000,32,1440,1102,338,27,2,173,19,45,0,0,0,0,847,307,286,157,929,29,311,2,1087,7,28,52,56
Che Adams,sct SCO,FW,Southampton,25,1996,22.7,484,468,16,0,4,137,10,11,0,0,0,0,307,99,78,44,350,28,1,16,337,2,10,26,31
Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,1003,788,215,16,1,135,36,56,29,8,17,2,557,215,231,672,108,42,170,0,754,2,28,33,31
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,873,721,152,8,0,138,15,12,0,0,0,0,449,217,207,42,577,63,144,2,629,4,23,33,40
Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,855,813,42,16,0,71,5,0,0,0,0,0,716,67,72,621,155,28,26,2,780,0,10,7,8
Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,551,450,101,15,0,96,33,31,37,26,6,1,308,111,132,39,437,20,48,1,345,5,5,31,38
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17,1479,1460,19,12,3,215,63,2,1,0,1,0,1139,138,202,97,1308,35,3,5,1325,2,15,42,23
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2706,2155,551,90,20,237,199,127,131,28,89,2,1403,476,827,279,2018,60,330,6,2013,6,38,102,77
Alisson,br BRA,GK,Liverpool,28,1992,36,1360,1127,233,62,2,96,37,0,0,0,0,0,969,68,323,100,1030,3,0,195,1178,0,18,19,0
Allan,br BRA,MF,Everton,30,1991,24.3,967,905,62,21,0,156,17,6,0,0,0,0,666,112,189,87,824,34,10,3,757,5,16,44,29
Dele Alli,eng ENG,MF,Everton,25,1996,3.8,152,140,12,2,1,34,1,4,1,0,0,0,110,24,18,5,132,4,4,1,114,3,3,9,5
Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,214,202,12,6,0,42,2,3,0,0,0,0,149,33,32,10,180,12,3,3,167,1,2,11,7
Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,505,496,9,2,1,86,5,22,1,1,0,0,403,47,55,457,21,15,5,3,406,2,7,14,20
Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,1456,1162,294,26,1,234,50,64,65,34,23,2,867,292,297,1060,110,38,203,3,1132,3,25,48,42
Steven Alzate,co COL,MF,Brighton,22,1998,4.5,234,231,3,2,0,33,4,2,0,0,0,0,178,24,32,15,199,12,1,0,207,0,2,6,3
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,1475,1447,28,21,0,137,23,0,0,0,0,0,1274,80,121,132,1259,55,6,3,1353,2,9,22,18
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,2195,2113,82,74,2,186,110,14,1,0,0,1,1453,156,586,183,1838,110,4,7,1812,5,55,52,14
Michail Antonio,jm JAM,FW,West Ham,31,1990,33,708,671,37,3,7,220,22,54,1,0,0,0,405,157,146,105,493,28,15,8,466,6,19,34,55
Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,0.3,5,5,0,0,0,1,0,0,0,0,0,0,4,1,0,1,3,0,0,1,5,0,0,0,0
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,41,24,17,3,0,6,0,0,0,0,0,0,11,1,29,2,35,0,0,3,20,0,0,1,0
Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,315,284,31,0,1,65,9,22,0,0,0,0,215,56,44,64,219,18,2,4,223,1,3,14,13
Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,734,702,32,2,1,124,9,32,2,0,1,0,564,95,75,125,577,16,7,5,583,3,10,38,23
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,139,110,29,8,0,18,4,0,0,0,0,0,95,7,37,13,96,0,0,28,115,0,3,0,0
Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,8,7,1,0,0,0,0,0,0,0,0,0,5,2,1,0,6,1,1,0,7,0,0,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,205,198,7,0,1,62,3,9,0,0,0,0,120,47,38,27,151,8,1,1,145,1,2,8,11
