Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Max Aarons,eng ENG,DF,Norwich City,21,2000,34,2881,85,84.2,32,32,89,29,2,22,2,0.53,18,69,-51,-1.59,0.08,25.5,60.6,-35,-1.09,0.34
Tammy Abraham,eng ENG,FW,Chelsea,23,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
Che Adams,sct SCO,FW,Southampton,25,1996,30,2039,68,59.6,22.7,23,82,13,7,22,4,1.03,25,40,-15,-0.66,-0.08,29.7,34.4,-4.6,-0.21,0.27
Omotayo Adaramola,ie IRL,DF,Crystal Palace,17,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Adrián,es ESP,GK,Liverpool,34,1987,0,,,,,0,,0,0,,5,,,,,,,,,,,
Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,23,1828,79,53.5,20.3,20,89,17,3,13,12,1.13,25,26,-1,-0.05,0.18,17.9,36.6,-18.7,-0.92,-0.6
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,24,1995,83,58.3,22.2,23,85,17,1,45,3,1.29,29,32,-3,-0.14,0.18,29.6,29.8,-0.3,-0.01,0.07
Nathan Aké,nl NED,DF,Manchester City,26,1995,14,923,66,27,10.3,10,82,8,4,25,22,2.64,19,3,16,1.56,-0.49,20.6,5.9,14.7,1.43,-0.25
Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,17,1132,67,33.1,12.6,11,90,11,6,24,17,1.35,16,24,-8,-0.64,-1.07,12.8,26.5,-13.8,-1.09,-1.24
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,25,1534,61,44.9,17,17,80,5,8,22,1,2.64,42,7,35,2.05,0.48,42,11.1,31,1.82,0.66
Ryan Alebiousu,eng ENG,DF,Arsenal,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ajibola Alese,eng ENG,DF,West Ham,20,2001,0,,,,,0,,0,0,,11,,,,,,,,,,,
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,32,2853,89,83.4,31.7,32,89,30,0,,2,2.38,80,22,58,1.83,0.24,75.4,30,45.5,1.44,-0.13
Alisson,br BRA,GK,Liverpool,28,1992,36,3240,90,94.7,36,36,90,36,0,,0,2.44,87,24,63,1.75,-0.75,84.2,32,52.2,1.45,-0.15
Allan,br BRA,MF,Everton,30,1991,28,2183,78,63.8,24.3,25,85,17,3,23,5,1.14,26,38,-12,-0.49,0.31,27.4,33.4,-6.1,-0.25,0.18
Dele Alli,eng ENG,MF,Everton,25,1996,11,338,31,9.9,3.8,1,66,0,10,27,7,0.91,7,10,-3,-0.8,-0.21,3.4,8,-4.6,-1.22,-1
Dele Alli,eng ENG,MFFW,Tottenham,25,1996,10,657,66,19.2,7.3,8,80,5,2,11,9,1.4,6,13,-7,-0.96,-2.13,9.2,11.1,-2,-0.27,-1.17
Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,30,1716,57,50.2,19.1,19,78,5,11,21,6,1.2,16,32,-16,-0.84,-0.73,18,30.1,-12.1,-0.63,-0.47
Marcos Alonso,es ESP,DF,Chelsea,30,1990,28,2167,77,63.4,24.1,25,83,16,3,28,6,1.64,42,22,20,0.83,-0.82,38.9,22.9,16,0.66,-0.44
Steven Alzate,co COL,MF,Brighton,22,1998,9,404,45,11.8,4.5,5,69,1,4,15,18,1.11,3,7,-4,-0.89,-0.95,3,7.6,-4.6,-1.03,-1.19
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,28,2123,76,62.1,23.6,23,88,22,5,20,6,1.5,35,40,-5,-0.21,-0.77,28.2,38.6,-10.4,-0.44,-0.46
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,34,2916,86,85.3,32.4,32,90,31,2,22,0,1.32,44,37,7,0.22,0.75,40,34.9,5.1,0.16,0.15
Elliot Anderson,sct SCO,MF,Newcastle Utd,18,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,
Florin Andone,ro ROU,FW,Brighton,28,1993,0,,,,,0,,0,0,,1,,,,,,,,,,,
Vincent Angelini,sct SCO,GK,Watford,17,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Michail Antonio,jm JAM,FW,West Ham,31,1990,36,2971,83,86.9,33,34,85,23,2,33,1,1.56,55,43,12,0.36,0.96,44.2,42.1,2,0.06,0.68
Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,3,27,9,0.8,0.3,0,,0,3,9,9,1,1,0,1,3.33,3.41,0.2,0.8,-0.7,-2.21,-2.1
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,90,90,2.6,1,1,90,1,0,,37,0,0,1,-1,-1,-1.27,0.4,1.8,-1.4,-1.41,-1.42
Adam Armstrong,eng ENG,FW,Southampton,24,1997,23,1413,61,41.3,15.7,17,80,10,6,10,14,0.87,12,31,-19,-1.21,-0.99,17.1,28.7,-11.6,-0.74,-0.73
Stuart Armstrong,sct SCO,MF,Southampton,29,1992,25,1473,59,43.1,16.4,15,84,8,10,21,2,1.32,16,30,-14,-0.86,-0.39,19.6,28.5,-8.9,-0.54,-0.41
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,360,90,10.5,4,4,90,4,0,,34,1.75,6,2,4,1,-0.15,4.1,2.4,1.6,0.4,-0.47
Harrison Ashby,sct SCO,DF,West Ham,19,2001,1,7,7,0.2,0.1,0,,0,1,7,7,0,0,1,-1,-12.86,-13.12,0.1,0.1,0,-0.63,-0.61
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,14,1037,74,30.3,11.5,12,83,7,2,18,0,1.64,17,16,1,0.09,-0.37,16.3,16.9,-0.6,-0.05,-0.56
Brandon Austin,eng ENG,GK,Tottenham,22,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,
Zach Awe,eng ENG,DF,Arsenal,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,31,2019,65,59,22.4,23,81,10,8,20,6,1.13,31,31,0,0,-0.26,27.3,26.2,1.2,0.05,-0.21
Luke Ayling,eng ENG,DF,Leeds United,29,1991,26,2272,87,66.4,25.2,26,87,23,0,,0,0.85,30,66,-36,-1.43,-1.35,31.8,51.3,-19.4,-0.77,-0.51
Miguel Azeez,eng ENG,MF,Arsenal,18,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
César Azpilicueta,es ESP,DF,Chelsea,31,1989,27,2070,77,60.5,23,24,84,16,3,20,7,1.78,36,23,13,0.57,-1.43,35.9,25.3,10.6,0.46,-0.92
Kwadwo Baah,eng ENG,FW,Watford,18,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,1080,90,31.6,12,12,90,12,0,,25,0.25,10,28,-18,-1.5,-0.54,11.2,22.3,-11.1,-0.92,-0.28
Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,18,761,42,22.3,8.5,7,69,3,11,25,2,0.89,12,13,-1,-0.12,-0.08,9.9,6.3,3.6,0.42,0.71
Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,4,217,54,6.3,2.4,3,67,1,1,17,17,1.75,5,4,1,0.41,0.44,4.6,5,-0.3,-0.13,-0.15
Folarin Balogun,eng ENG,FW,Arsenal,20,2001,2,70,35,2,0.8,1,58,0,1,12,0,0,0,1,-1,-1.29,-1.66,0.4,1,-0.6,-0.74,-1.1
Patrick Bamford,eng ENG,FW,Leeds United,27,1993,9,559,62,16.3,6.2,7,72,4,2,28,1,1.11,7,14,-7,-1.13,-0.18,9,11.6,-2.5,-0.41,0.23
Scott Banks,sct SCO,MF,Crystal Palace,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Jamal Baptiste,eng ENG,DF,West Ham,17,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,
Shandon Baptiste,gd GRN,MF,Brentford,23,1998,22,910,41,26.6,10.1,9,69,3,13,22,10,1.05,15,15,0,0,0.29,11.5,11.5,0,0,0.05
Phil Bardsley,sct SCO,DF,Burnley,36,1985,0,,,,,0,,0,0,,32,,,,,,,,,,,
Ross Barkley,eng ENG,MF,Chelsea,27,1993,6,179,30,5.2,2,1,72,0,5,21,21,2.33,10,2,8,4.02,3.05,7.4,0.6,6.8,3.43,2.75
Ashley Barnes,eng ENG,FW,Burnley,31,1989,23,808,35,23.6,9,8,76,2,15,13,7,0.78,6,19,-13,-1.45,-1.24,10.3,15.3,-4.9,-0.55,-0.11
Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,32,2101,66,61.4,23.3,24,79,13,8,25,3,1.34,38,30,8,0.34,0.68,33.1,34.5,-1.4,-0.06,0.54
Lewis Bate,eng ENG,MF,Leeds United,18,2002,3,146,49,4.3,1.6,1,58,0,2,44,13,1,3,4,-1,-0.62,0.37,2.1,2.7,-0.5,-0.34,0.27
Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,11,835,76,24.4,9.3,9,83,7,2,45,14,1.45,9,14,-5,-0.54,-0.43,12.2,12.7,-0.5,-0.05,-0.02
Owen Beck,wls WAL,DF,Liverpool,18,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Jan Bednarek,pl POL,DF,Southampton,25,1996,31,2629,85,76.9,29.2,30,86,26,1,45,6,1.16,33,52,-19,-0.65,-0.08,36.6,45,-8.4,-0.29,0.11
Donny van de Beek,nl NED,MF,Everton,24,1997,7,483,69,14.1,5.4,5,80,3,2,43,2,0.43,4,12,-8,-1.49,-1.03,4.9,8.2,-3.3,-0.62,-0.35
Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,8,75,9,2.2,0.8,0,,0,8,9,14,1.75,2,2,0,0,0,1.6,1.6,0,0.01,0
Asmir Begović,ba BIH,GK,Everton,34,1987,3,270,90,7.9,3,3,90,3,0,,35,1,2,8,-6,-2,-1.51,2.4,5.5,-3.1,-1.03,-0.78
Héctor Bellerín,es ESP,DFMF,Arsenal,26,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,
Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,32,2168,68,63.4,24.1,26,78,4,6,22,1,1.53,44,27,17,0.71,1.28,31.8,26.6,5.2,0.22,0.67
Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,17,1361,80,39.8,15.1,16,83,10,1,31,0,1.88,36,12,24,1.59,1.37,28.7,12.9,15.7,1.04,0.6
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,25,1145,46,33.5,12.7,11,82,6,14,17,12,1.16,17,20,-3,-0.24,-0.51,17.2,14.9,2.3,0.18,0.07
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,18,1102,61,32.2,12.2,13,76,5,5,23,0,0.67,10,19,-9,-0.74,-0.35,11.3,17.3,-5.9,-0.48,-0.03
