Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,25,565,23,16.5,6.3,4,81,1,21,12,7,1.96,9,6,3,0.48,-0.34,9,7.9,1,0.17,-0.61
Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,4,337,84,9.9,3.7,4,84,3,0,,5,0.5,5,7,-2,-0.53,-0.68,6.2,6.3,-0.1,-0.01,0.28
Marcus Bettinelli,eng ENG,GK,Chelsea,29,1992,0,,,,,0,,0,0,,7,,,,,,,,,,,
Mads Bidstrup,dk DEN,MF,Brentford,20,2001,4,41,10,1.2,0.5,0,,0,4,10,14,1.75,1,0,1,2.2,2.43,0.4,0.7,-0.4,-0.79,-0.76
Mika Biereth,dk DEN,FW,Arsenal,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Yves Bissouma,ml MLI,MF,Brighton,24,1996,26,2111,81,61.7,23.5,25,83,18,1,27,4,1.54,27,28,-1,-0.04,0.03,29,28.3,0.8,0.03,0.05
Adrian Blake,eng ENG,FW,Watford,16,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,
Lamare Bogarde,nl NED,MF,Aston Villa,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Willy Boly,ci CIV,DF,Wolves,30,1991,10,900,90,26.3,10,10,90,10,0,,14,0.8,13,20,-7,-0.7,-0.77,9.1,20.5,-11.4,-1.14,-0.68
Jamie Bowden,ie IRL,MF,Tottenham,20,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,36,2983,83,87.2,33.1,34,87,22,2,18,0,1.47,57,46,11,0.33,0.74,45.5,42.4,3.1,0.09,0.95
Conor Bradley,nir NIR,DF,Liverpool,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,6,388,65,11.3,4.3,4,72,3,2,51,20,0.17,6,13,-7,-1.62,-1.15,5.5,10.7,-5.2,-1.2,-1.01
Nathan Broadhead,wls WAL,FWMF,Everton,23,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
Armando Broja,al ALB,FW,Southampton,19,2001,32,1975,62,57.7,21.9,21,82,6,11,24,0,1.13,26,37,-11,-0.5,0.31,30.1,31.4,-1.3,-0.06,0.6
Josh Brownhill,eng ENG,MF,Burnley,25,1995,35,2955,84,86.4,32.8,32,89,31,3,31,0,0.97,31,45,-14,-0.43,0.54,34.2,50.6,-16.4,-0.5,-0.24
Lewis Brunt,eng ENG,MF,Leicester City,20,2000,1,24,24,0.7,0.3,0,,0,1,24,4,0,1,1,0,0,-0.08,0.1,0.2,-0.1,-0.3,-0.03
Bryan,es ESP,FWMF,Tottenham,20,2001,9,94,10,2.7,1,0,,0,9,10,7,1.44,2,1,1,0.96,0.2,2.4,1.1,1.3,1.23,0.57
Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,35,1899,54,55.5,21.1,22,77,5,13,16,2,1.11,30,32,-2,-0.09,-0.09,23.8,27.9,-4,-0.19,-0.15
Hugo Bueno,es ESP,DF,Wolves,18,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Dan Burn,eng ENG,DF,Brighton,29,1992,13,1022,79,29.9,11.4,12,83,10,1,21,2,1.31,10,12,-2,-0.18,-0.18,12.3,15.4,-3.1,-0.27,-0.41
Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,1440,90,42.1,16,16,90,16,0,,1,1.94,20,18,2,0.12,1.03,18.8,18.2,0.6,0.04,0.76
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,9,765,85,22.4,8.5,8,90,8,1,45,29,1.11,12,13,-1,-0.12,-0.29,8.2,9,-0.8,-0.09,-0.29
Sam Byram,eng ENG,DF,Norwich City,27,1993,15,1027,68,30,11.4,11,85,10,4,23,6,0.73,7,27,-20,-1.75,-0.21,11.7,27,-15.2,-1.34,-0.27
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,180,90,5.3,2,2,90,2,0,,19,0.5,2,5,-3,-1.5,-0.92,1.3,2.8,-1.5,-0.74,-0.45
Moisés Caicedo,ec ECU,MF,Brighton,19,2001,8,660,83,19.3,7.3,8,83,4,0,,11,2.13,13,6,7,0.95,1.25,10.6,7.1,3.5,0.48,0.58
Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,17,1283,75,37.5,14.3,15,84,9,2,15,3,1.18,23,31,-8,-0.56,0.07,19,19.9,-0.9,-0.06,0.4
Chem Campbell,wls WAL,MF,Wolves,18,2002,1,13,13,0.4,0.1,0,,0,1,13,6,0,0,0,0,0,0.13,0.3,0.1,0.1,0.88,1.52
João Cancelo,pt POR,DF,Manchester City,27,1994,36,3227,90,94.4,35.9,36,90,35,0,,1,2.42,88,25,63,1.76,-2.91,80.1,26.1,54,1.51,-1.91
Sergi Canós,es ESP,DF,Brentford,24,1997,31,2083,67,60.9,23.1,25,79,9,6,19,2,1.06,25,35,-10,-0.43,-0.57,25.9,30.2,-4.3,-0.18,-0.37
Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,8,441,55,12.9,4.9,5,74,2,3,24,4,0.38,2,15,-13,-2.65,-1.2,3.5,11.5,-8.1,-1.65,-0.57
Scott Carson,eng ENG,GK,Manchester City,35,1985,0,,,,,0,,0,0,,18,,,,,,,,,,,
Matty Cash,pl POL,DF,Aston Villa,23,1997,38,3377,89,98.7,37.5,38,89,35,0,,0,1.18,52,50,2,0.05,8.43,43.7,46.7,-3.1,-0.08,3.57
Timothy Castagne,be BEL,DF,Leicester City,25,1995,27,2127,79,62.2,23.6,22,88,20,5,39,2,1.52,42,30,12,0.51,1.13,33.7,35.7,-2,-0.09,0.48
Jonny Castro,es ESP,DF,Wolves,27,1994,13,1024,79,29.9,11.4,10,89,8,3,45,4,0.85,13,21,-8,-0.7,-0.82,10.1,21.3,-11.2,-0.98,-0.49
Craig Cathcart,nir NIR,DF,Watford,32,1989,31,2396,77,70.1,26.6,27,88,24,4,8,4,0.74,28,55,-27,-1.01,0.39,29.5,47,-17.5,-0.66,0.24
Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,15,766,51,22.4,8.5,7,81,4,8,25,0,1.47,13,10,3,0.35,0.45,11.8,10,1.8,0.22,0.27
Kayky Chagas,br BRA,FW,Manchester City,18,2003,1,7,7,0.2,0.1,0,,0,1,7,2,3,1,0,1,12.86,10.96,1,0,1,12.3,10.71
Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,20,1449,72,42.4,16.1,17,82,13,3,20,13,2.3,38,9,29,1.8,1.16,29.2,12.8,16.4,1.02,0.34
Calum Chambers,eng ENG,DF,Aston Villa,26,1995,11,831,76,24.3,9.2,9,88,8,2,22,6,1.36,17,9,8,0.87,1.21,13,10.5,2.5,0.27,0.52
Calum Chambers,eng ENG,DF,Arsenal,26,1995,2,170,85,5,1.9,2,85,1,0,,4,0,0,7,-7,-3.71,-4.26,1,5.1,-4.2,-2.22,-2.69
Kgagelo Chauke,eng ENG,MF,Southampton,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Daniel Chesters,eng ENG,MF,West Ham,19,2002,1,1,1,0,0,0,,0,1,1,1,0,0,0,0,0,-0.24,0,0.1,-0.1,-9.65,-9.63
Ben Chilwell,eng ENG,DF,Chelsea,24,1996,7,542,77,15.8,6,6,90,6,1,2,6,2.71,19,2,17,2.82,2.01,14.1,4.7,9.4,1.56,0.88
Chiquinho,pt POR,DFMF,Wolves,21,2000,8,208,26,6.1,2.3,1,90,1,7,17,7,1,5,5,0,0,0.14,2.8,4.3,-1.5,-0.64,0
Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,6,285,48,8.3,3.2,4,66,1,2,11,25,1.33,4,4,0,0,-0.09,4.1,9,-5,-1.57,-1.42
Benjamin Chrisene,eng ENG,DF,Aston Villa,17,2004,0,,,,,0,,0,0,,7,,,,,,,,,,,
Andreas Christensen,dk DEN,DF,Chelsea,25,1996,19,1496,79,43.7,16.6,17,85,15,2,28,9,2.21,38,11,27,1.62,0.88,26.9,16,10.9,0.66,-0.29
Carney Chukwuemeka,lk SRI,MFFW,Aston Villa,17,2003,12,301,25,8.8,3.3,2,59,0,10,18,19,1.33,5,6,-1,-0.3,-0.27,4.2,6.5,-2.3,-0.68,-0.61
Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,13,1014,78,29.6,11.3,12,83,10,1,23,4,0.69,14,26,-12,-1.07,-0.84,10.6,19.4,-8.7,-0.77,-0.53
Tom Cleverley,eng ENG,MF,Watford,31,1989,28,1616,58,47.3,18,20,73,5,8,21,6,0.57,20,38,-18,-1,0.24,18.6,30.1,-11.4,-0.64,0.17
Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,16,1351,84,39.5,15,15,90,15,1,1,17,1.56,19,12,7,0.47,0.6,18.1,13,5.1,0.34,0.34
Conor Coady,eng ENG,DF,Wolves,28,1993,38,3361,88,98.3,37.3,38,88,35,0,,0,1.34,37,43,-6,-0.16,-1.69,34.8,60,-25.1,-0.67,-1.84
Séamus Coleman,ie IRL,DF,Everton,32,1988,30,2656,89,77.7,29.5,30,89,28,0,,4,1.13,34,50,-16,-0.54,0.28,32.5,42.4,-9.8,-0.33,-0.09
Nathan Collins,ie IRL,DF,Burnley,20,2001,19,1670,88,48.8,18.6,18,90,17,1,51,17,1.05,17,25,-8,-0.43,0.13,21.8,26.6,-4.7,-0.26,0.41
Aaron Connolly,ie IRL,FW,Brighton,21,2000,4,156,39,4.6,1.7,1,60,0,3,32,5,1.25,2,1,1,0.58,0.66,2.8,2.5,0.3,0.19,0.18
Kamil Conteh,sl SLE,MF,Watford,18,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Liam Cooper,sct SCO,DF,Leeds United,29,1991,21,1814,86,53,20.2,21,86,20,0,,1,1.19,20,26,-6,-0.3,1.44,24.2,32.3,-8.1,-0.4,0.42
Jack Cork,eng ENG,MF,Burnley,32,1989,20,1670,84,48.8,18.6,20,84,14,0,,18,1.05,19,26,-7,-0.38,0.24,18.7,26.9,-8.2,-0.44,0.05
Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,26,1766,68,51.6,19.6,21,76,8,5,35,2,0.81,24,24,0,0,1.03,20.6,31,-10.4,-0.53,-0.13
Hélder Costa,ao ANG,MF,Leeds United,27,1994,1,22,22,0.6,0.2,0,,0,1,22,2,0,0,0,0,0,0.98,0.3,0,0.3,1.3,1.91
Dara Costelloe,ie IRL,DF,Burnley,18,2002,0,,,,,0,,0,0,,7,,,,,,,,,,,
Vladimír Coufal,cz CZE,DF,West Ham,28,1992,28,2209,79,64.6,24.5,25,87,21,3,13,3,1.39,42,35,7,0.29,0.14,33.2,32.1,1.2,0.05,0.21
Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,19,1329,70,38.9,14.8,16,80,5,3,18,0,1.21,21,17,4,0.27,0.53,18.5,16.9,1.7,0.11,0.39
Conor Coventry,ie IRL,MF,West Ham,21,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Matthew Cox,eng ENG,GK,Brentford,18,2003,0,,,,,0,,0,0,,10,,,,,,,,,,,
Matthew Craig,sct SCO,MF,Tottenham,18,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,
Aaron Cresswell,eng ENG,DF,West Ham,31,1989,31,2726,88,79.7,30.3,31,88,29,0,,0,1.45,44,38,6,0.2,-0.19,37.7,39.8,-2.1,-0.07,-0.21
Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,5,141,28,4.1,1.6,1,90,1,4,13,26,1.4,4,4,0,0,1.02,3.2,2.8,0.3,0.22,0.86
Cucho,co COL,FWMF,Watford,22,1999,25,1147,46,33.5,12.7,11,75,5,14,23,7,0.68,19,34,-15,-1.18,-0.07,16.3,22.9,-6.6,-0.52,0.32
Marc Cucurella,es ESP,DF,Brighton,23,1998,35,3089,88,90.3,34.3,35,88,32,0,,0,1.29,37,39,-2,-0.06,-0.06,41.7,41.2,0.5,0.01,0
Tiago Çukur,tr TUR,FW,Watford,18,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,
Luke Cundle,eng ENG,MF,Wolves,19,2002,4,180,45,5.3,2,2,87,1,2,4,29,1.5,2,1,1,0.5,0.67,1.6,2.9,-1.3,-0.64,0
Patson Daka,zm ZAM,FW,Leicester City,22,1998,23,1159,50,33.9,12.9,13,76,2,10,17,13,1.17,20,20,0,0,-0.12,19.6,17.1,2.5,0.2,0.7
Vontae Daley Campbell,eng ENG,DF,Leicester City,20,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,
Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,34,2919,86,85.4,32.4,34,86,31,0,,0,1,38,66,-28,-0.86,0.75,41.1,58.3,-17.2,-0.53,0.48
Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,24,1801,75,52.7,20,19,89,18,5,21,13,1.63,28,29,-1,-0.05,-0.11,30,27.2,2.8,0.14,0.28
Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,720,90,21.1,8,8,90,8,0,,26,0.63,10,15,-5,-0.62,-0.19,7.4,11.9,-4.4,-0.55,-0.2
Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,9,257,29,7.5,2.9,2,39,0,7,26,1,0.89,4,4,0,0,0.23,2,2.8,-0.8,-0.28,-0.26
Ben Davies,wls WAL,DF,Tottenham,28,1993,29,2538,88,74.2,28.2,28,90,26,1,31,8,1.83,57,30,27,0.96,0.75,53,28.7,24.3,0.86,0.71
Tom Davies,eng ENG,MF,Everton,23,1998,6,234,39,6.8,2.6,2,83,1,4,17,9,0.83,3,9,-6,-2.31,-1.83,4.3,6.8,-2.5,-0.96,-0.69
Keinan Davis,eng ENG,FW,Aston Villa,23,1998,1,12,12,0.4,0.1,0,,0,1,12,5,0,0,0,0,0,0.05,0.1,0,0.1,0.71,0.84
Craig Dawson,eng ENG,DF,West Ham,31,1990,34,2754,81,80.5,30.6,30,89,28,4,21,3,1.56,48,42,6,0.2,-0.21,39.3,42,-2.8,-0.09,-0.32
Lucas De Bolle,eng ENG,MF,Newcastle Utd,18,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,
Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,30,2201,73,64.4,24.5,25,84,16,5,19,3,2.3,64,22,42,1.72,-0.57,51.8,19.2,32.6,1.33,-0.79
Troy Deeney,eng ENG,FW,Watford,33,1988,2,25,13,0.7,0.3,0,,0,2,13,0,1.5,0,1,-1,-3.6,-2.49,0.7,1.4,-0.8,-2.8,-2.09
Liam Delap,eng ENG,FW,Manchester City,18,2003,1,10,10,0.3,0.1,0,,0,1,10,3,3,1,0,1,9,7.1,1,0,1,8.61,7.02
Fabian Delph,eng ENG,MF,Everton,31,1989,11,662,60,19.4,7.4,8,74,2,3,24,5,1.18,6,6,0,0,0.75,7.2,9.1,-1.8,-0.25,0.08
Leander Dendoncker,be BEL,MF,Wolves,26,1995,30,1950,65,57,21.7,21,89,17,9,8,7,1.47,23,28,-5,-0.23,-0.23,19.9,37.9,-18,-0.83,-0.44
Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,33,2581,78,75.5,28.7,30,83,17,3,31,0,0.64,28,59,-31,-1.08,0.21,28.4,47.3,-19,-0.66,0.27
Halil Dervişoğlu,tr TUR,FW,Brentford,21,1999,0,,,,,0,,0,0,,3,,,,,,,,,,,
Alfie Devine,eng ENG,MF,Tottenham,16,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,28,2105,75,61.5,23.4,23,88,19,5,17,8,1.46,37,27,10,0.43,0.91,30.4,35.5,-5.1,-0.22,0.13
Amad Diallo,ci CIV,FW,Manchester Utd,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,23,1023,44,29.9,11.4,10,81,7,13,17,12,1.13,13,21,-8,-0.7,-0.1,14.3,18.5,-4.1,-0.36,-0.07
Rúben Dias,pt POR,DF,Manchester City,24,1997,29,2402,83,70.2,26.7,27,87,24,2,32,2,2.48,69,18,51,1.91,-0.03,62.6,20.6,42,1.57,-0.13
Luis Díaz,co COL,FW,Liverpool,24,1997,13,958,74,28,10.6,11,82,4,2,26,3,2.69,25,4,21,1.97,0.25,26.1,7.8,18.4,1.72,0.37
Tyler Dibling,eng ENG,MF,Southampton,15,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
