Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Jack Harrison,eng ENG,FWMF,Leeds United,24,1996,29.3,3,0,0,31,28,4,92,41,32,0,0,0,198,22,64,25.6
Kortney Hause,eng ENG,DF,Aston Villa,26,1995,4.4,0,0,0,8,2,1,1,9,4,0,1,0,55,20,8,71.4
Kai Havertz,de GER,FWMF,Chelsea,22,1999,20.1,3,0,0,43,31,12,20,6,13,1,0,0,87,40,61,39.6
Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26,1995,11.1,5,0,0,24,9,0,5,20,18,0,0,0,77,24,15,61.5
Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,20.2,2,0,0,32,44,3,10,25,14,0,0,0,104,10,32,23.8
Jordan Henderson,eng ENG,MF,Liverpool,31,1990,28.9,3,0,0,33,13,3,48,43,24,0,0,0,322,23,20,53.5
Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,0.8,0,0,0,2,0,0,0,0,1,0,0,0,6,1,1,50
Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,
Rico Henry,eng ENG,DF,Brentford,24,1997,30.8,2,0,0,21,32,1,50,59,27,0,1,0,311,37,45,45.1
Son Heung-min,kr KOR,FWMF,Tottenham,29,1992,33.4,2,0,0,17,46,16,65,29,12,2,0,0,168,15,48,23.8
Ki-Jana Hoever,nl NED,DF,Wolves,19,2002,3.4,1,0,0,5,4,1,8,5,10,0,0,0,23,4,4,50
Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,35.5,3,0,0,44,47,0,21,70,49,0,0,0,375,35,20,63.6
Rob Holding,eng ENG,DF,Arsenal,25,1995,9.4,4,1,1,9,4,0,0,15,7,0,0,0,88,28,21,57.1
Mason Holgate,eng ENG,DF,Everton,24,1996,23.7,7,1,0,28,17,0,3,42,26,0,0,1,234,76,35,68.5
Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,20,2000,10.7,1,0,0,12,22,4,26,5,6,1,0,0,55,5,12,29.4
Will Hughes,eng ENG,MF,Crystal Palace,26,1995,11.7,6,0,0,24,20,0,9,21,15,1,1,0,119,19,20,48.7
Adam Idah,ie IRL,FWMF,Norwich City,20,2001,6.9,0,0,0,10,12,10,11,4,6,0,0,0,34,16,36,30.8
Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,14,1,0,0,26,12,7,10,4,9,0,0,0,61,15,46,24.6
Danny Ings,eng ENG,FW,Aston Villa,29,1992,21.1,4,0,0,20,14,11,17,15,11,0,0,0,89,23,52,30.7
Tim Iroegbunam,eng ENG,MF,Aston Villa,18,2003,1,1,0,0,2,1,0,0,2,2,0,0,0,10,3,0,100
Alex Iwobi,ng NGA,MFDF,Everton,25,1996,22.6,1,0,0,21,10,3,30,40,28,0,1,0,148,9,36,20
Daniel James,wls WAL,FWMF,Leeds United,23,1997,26.3,7,1,0,37,44,13,44,19,17,1,0,0,123,16,53,23.2
Daniel James,wls WAL,FW,Manchester Utd,23,1997,1.4,0,0,0,1,1,2,5,0,4,0,0,0,12,0,1,0
Reece James,eng ENG,DF,Chelsea,21,1999,20.7,4,1,0,18,37,4,82,21,23,0,0,1,167,22,24,47.8
Vitaly Janelt,de GER,MF,Brentford,23,1998,25.5,3,0,0,31,35,3,23,44,35,0,0,0,239,38,28,57.6
Pontus Jansson,se SWE,DF,Brentford,30,1991,36.9,7,0,0,20,12,5,1,69,25,1,0,0,374,131,82,61.5
Mathias Jensen,dk DEN,MF,Brentford,25,1996,17.8,0,0,0,20,10,3,32,33,28,0,0,0,147,10,18,35.7
Gabriel Jesus,br BRA,FW,Manchester City,24,1997,20.9,1,0,0,30,31,10,27,18,12,2,0,0,128,21,41,33.9
Raúl Jiménez,mx MEX,FW,Wolves,30,1991,29.2,9,2,2,55,58,23,20,19,23,0,0,0,121,74,93,44.3
João Pedro,br BRA,FWMF,Watford,19,2001,18.3,1,0,0,17,38,6,25,19,17,0,0,0,115,62,108,36.5
Joelinton,br BRA,MFFW,Newcastle Utd,24,1996,28.4,8,0,0,79,48,3,18,48,44,0,0,0,241,106,107,49.8
Ben Johnson,eng ENG,DF,West Ham,21,2000,15.5,1,0,0,11,5,0,40,25,16,0,0,0,115,18,19,48.6
Curtis Jones,eng ENG,MF,Liverpool,20,2001,9.5,0,0,0,12,26,1,2,10,9,0,0,0,76,7,10,41.2
Phil Jones,eng ENG,DF,Manchester Utd,29,1992,1.8,0,0,0,0,3,0,0,5,4,0,0,0,12,1,0,100
Mathias Jørgensen,dk DEN,DF,Brentford,31,1990,5.8,2,0,0,9,1,0,8,10,2,0,0,0,66,18,8,69.2
Jorginho,it ITA,MF,Chelsea,29,1991,25.3,5,0,0,39,44,0,3,60,46,0,0,0,267,20,30,40
Diogo Jota,pt POR,FW,Liverpool,24,1996,26.3,3,0,0,40,45,5,16,17,21,2,0,0,141,37,96,27.8
James Justin,eng ENG,DF,Leicester City,23,1998,11.1,0,0,0,8,14,1,11,27,21,0,0,0,97,17,17,50
Ozan Kabak,tr TUR,DF,Norwich City,21,2000,10.2,2,0,0,12,13,0,0,22,11,0,2,0,80,29,20,59.2
Christian Kabasele,be BEL,DF,Watford,30,1991,13.3,0,0,0,6,4,0,1,26,6,0,0,0,116,50,17,74.6
Samuel Kalu,ng NGA,FW,Watford,23,1997,2.5,0,0,0,0,5,3,4,5,2,0,0,0,5,2,3,40
Hassane Kamara,ci CIV,DF,Watford,27,1994,18,5,1,1,27,17,0,19,94,29,0,1,0,184,41,13,75.9
Harry Kane,eng ENG,FW,Tottenham,28,1993,35.9,5,0,0,46,70,17,40,7,10,0,0,0,150,95,106,47.3
N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,19.7,2,0,0,30,26,0,11,44,34,0,0,0,176,18,19,48.6
Edo Kayembe,cd COD,MF,Watford,23,1998,8.9,0,0,0,6,8,1,4,14,15,0,0,0,104,11,19,36.7
Moise Kean,it ITA,FW,Everton,21,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Michael Keane,eng ENG,DF,Everton,28,1993,31,4,1,1,17,11,1,0,62,35,0,0,2,321,121,72,62.7
Naby Keïta,gn GUI,MF,Liverpool,26,1995,13,3,0,0,30,14,0,7,20,28,0,0,0,128,8,16,33.3
Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,
Kenedy,br BRA,DF,Chelsea,25,1996,0.6,0,0,0,1,0,0,3,0,2,0,0,0,5,0,1,0
Jonjoe Kenny,eng ENG,DF,Everton,24,1997,11.3,3,1,1,11,6,1,15,32,12,0,0,0,93,13,16,44.8
Max Kilman,eng ENG,DF,Wolves,24,1997,29.9,3,0,0,22,16,0,2,64,33,0,1,0,238,86,43,66.7
Joshua King,no NOR,FW,Watford,29,1992,25,5,0,0,44,25,8,24,12,21,1,0,0,105,93,127,42.3
Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Mateusz Klich,pl POL,MF,Leeds United,31,1990,23,5,0,0,45,19,2,28,31,26,0,1,0,226,8,20,28.6
Robin Koch,de GER,MFDF,Leeds United,25,1996,17.5,3,0,0,25,11,0,2,34,20,0,0,0,168,54,47,53.5
Sead Kolašinac,ba BIH,DF,Arsenal,28,1993,1,1,0,0,3,0,0,0,4,1,0,0,0,2,2,1,66.7
Ibrahima Konaté,fr FRA,DF,Liverpool,22,1999,11,2,0,0,13,3,0,0,28,8,0,0,0,128,41,16,71.9
Ezri Konsa,eng ENG,DF,Aston Villa,23,1997,27.5,6,2,1,17,38,1,1,45,14,0,1,0,183,60,43,58.3
Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,31,1989,21.9,3,0,0,37,30,0,5,45,34,0,0,0,259,56,27,67.5
Mateo Kovačić,hr CRO,MF,Chelsea,27,1994,17.3,4,0,0,30,35,0,5,20,40,0,0,0,162,5,9,35.7
Emil Krafth,se SWE,DF,Newcastle Utd,26,1994,18.2,5,0,0,27,12,0,18,48,20,0,0,0,142,32,27,54.2
Alex Král,cz CZE,MF,West Ham,23,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,50
Tim Krul,nl NED,GK,Norwich City,33,1988,29,1,0,0,0,1,0,0,0,0,0,0,1,146,0,0,
Juraj Kucka,sk SVK,MF,Watford,34,1987,21.3,5,1,1,53,49,2,10,46,47,0,1,1,235,55,58,48.7
Dejan Kulusevski,se SWE,MFFW,Tottenham,21,2000,14,3,0,0,25,18,4,24,26,16,0,0,0,90,5,13,27.8
Alexandre Lacazette,fr FRA,FWMF,Arsenal,30,1991,19.8,0,0,0,37,36,6,7,13,19,4,0,0,75,22,68,24.4
Adam Lallana,eng ENG,MF,Brighton,33,1988,17.3,4,0,0,14,23,0,8,27,22,0,0,0,187,14,13,51.9
Tariq Lamptey,eng ENG,DFFW,Brighton,20,2000,17.3,4,0,0,31,54,3,72,37,23,0,0,0,121,9,32,22
Manuel Lanzini,ar ARG,MFFW,West Ham,28,1993,19.8,2,0,0,18,24,1,12,28,18,0,0,0,187,7,20,25.9
Aymeric Laporte,es ESP,DF,Manchester City,27,1994,31.4,5,1,0,15,13,2,5,33,17,1,0,0,287,73,36,67
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27,1993,22.9,5,0,0,23,4,0,5,35,11,0,3,2,177,99,35,73.9
Pierre Lees-Melou,fr FRA,MF,Norwich City,28,1993,25.2,5,0,0,50,25,2,30,42,40,1,0,0,230,15,23,39.5
Aaron Lennon,eng ENG,MF,Burnley,34,1987,17.2,2,0,0,23,25,4,30,15,18,0,1,0,91,10,26,27.8
Bernd Leno,de GER,GK,Arsenal,29,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,
Jamal Lewis,nir NIR,DF,Newcastle Utd,23,1998,2.9,1,0,0,2,3,0,3,6,6,0,0,0,23,2,6,25
Victor Lindelöf,se SWE,DF,Manchester Utd,27,1994,26.2,4,0,0,24,8,2,0,51,10,0,0,0,252,63,32,66.3
Jesse Lingard,eng ENG,FWMF,Manchester Utd,28,1992,4.1,1,0,0,6,5,1,8,4,6,0,0,0,26,0,1,0
Valentino Livramento,eng ENG,DF,Southampton,18,2002,24.5,2,0,0,17,40,1,55,73,30,1,0,0,218,27,34,44.3
Diego Llorente,es ESP,DF,Leeds United,27,1993,26,7,0,0,29,27,0,2,61,35,0,0,0,274,65,64,50.4
Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38,2,0,0,0,3,0,0,0,0,0,0,0,156,0,1,0
Giovani Lo Celso,ar ARG,MFFW,Tottenham,25,1996,2.6,0,0,0,5,7,1,1,3,3,0,0,0,19,0,3,0
Jürgen Locadia,nl NED,FW,Brighton,27,1993,0.3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,
Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,25,1996,15.5,1,0,0,24,51,2,10,15,20,0,0,0,156,41,12,77.4
Kevin Long,ie IRL,DF,Burnley,30,1990,4.6,1,0,0,6,1,1,0,7,5,0,0,0,32,14,4,77.8
Shane Long,ie IRL,FW,Southampton,34,1987,3.4,1,0,0,9,9,3,4,1,3,0,0,0,15,27,27,50
Sean Longstaff,eng ENG,MF,Newcastle Utd,23,1997,16.3,1,0,0,26,20,0,5,20,33,0,0,0,156,14,15,48.3
Ademola Lookman,ng NGA,FWMF,Leicester City,23,1997,16.1,2,0,0,30,40,6,22,20,25,0,0,0,112,4,17,19
Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,
Imran Louza,ma MAR,MF,Watford,22,1999,15.7,6,0,0,35,17,0,19,48,32,0,0,0,192,11,17,39.3
Matthew Lowton,eng ENG,DF,Burnley,32,1989,19.7,3,1,0,18,8,0,39,34,26,0,0,0,182,31,26,54.4
Douglas Luiz,br BRA,MF,Aston Villa,23,1998,30.2,7,0,0,51,45,0,27,61,43,0,0,0,285,37,31,54.4
Romelu Lukaku,be BEL,FW,Chelsea,28,1993,17.7,1,0,0,8,14,14,9,1,3,3,0,0,49,48,50,49
Lyanco,br BRA,DF,Southampton,24,1997,10.1,2,0,0,16,8,0,3,29,14,0,0,0,86,21,15,58.3
Alexis Mac Allister,ar ARG,MFFW,Brighton,22,1998,23.6,4,0,0,38,47,4,20,23,51,0,0,0,245,29,29,50
James Maddison,eng ENG,MFFW,Leicester City,24,1996,27.3,3,0,0,26,80,4,49,20,24,1,0,0,134,6,25,19.4
Harry Maguire,eng ENG,DF,Manchester Utd,28,1993,27.9,9,1,1,23,23,1,1,53,26,0,0,1,284,102,36,73.9
Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,16.6,0,0,0,10,18,3,54,13,6,0,0,0,108,12,16,42.9
Ainsley Maitland-Niles,eng ENG,MF,Arsenal,23,1997,3,0,0,0,5,2,0,1,3,4,0,0,0,37,5,4,55.6
Sadio Mané,sn SEN,FW,Liverpool,29,1992,31.3,5,0,0,52,61,19,51,15,18,1,0,0,176,29,54,34.9
Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,14,5,0,0,8,18,1,10,23,24,0,0,0,100,16,15,51.6
Fernando Marçal,br BRA,DF,Wolves,32,1989,16.1,3,0,0,33,12,1,55,31,26,0,1,0,137,29,17,63
Solly March,eng ENG,DFFW,Brighton,27,1994,19.4,1,0,0,35,23,12,63,31,22,0,0,0,129,22,38,36.7
Pablo Marí,es ESP,DF,Arsenal,27,1993,2,1,0,0,1,1,0,0,6,2,0,0,0,17,5,4,55.6
Anthony Martial,fr FRA,FW,Manchester Utd,25,1995,2.4,0,0,0,1,4,2,5,1,1,0,0,0,5,5,3,62.5
Martinelli,br BRA,FWMF,Arsenal,20,2001,20.7,3,1,1,26,25,10,48,21,19,0,0,0,116,30,54,35.7
Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,4,0,0,0,8,0,0,1,0,0,0,0,164,0,1,0
Adam Masina,ma MAR,DF,Watford,27,1994,12,0,0,0,19,5,0,18,31,14,0,1,0,93,30,15,66.7
Arthur Masuaku,cd COD,DFFW,West Ham,27,1993,7.2,1,0,0,8,4,0,20,18,19,0,0,0,74,13,9,59.1
Juan Mata,es ESP,MF,Manchester Utd,33,1988,2.6,0,0,0,2,4,2,6,2,6,0,0,0,29,0,1,0
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,12.7,2,0,0,19,10,14,9,4,5,0,0,0,47,42,52,44.7
Nemanja Matić,rs SRB,MF,Manchester Utd,32,1988,15.4,3,0,0,32,7,0,5,32,28,0,0,0,165,34,21,61.8
Joël Matip,cm CMR,DF,Liverpool,29,1991,31,2,0,0,16,19,0,0,66,36,0,0,0,376,120,55,68.6
Neal Maupay,fr FRA,FW,Brighton,24,1996,25.3,7,0,0,37,39,6,5,10,12,0,0,0,117,24,78,23.5
Bryan Mbeumo,fr FRA,FW,Brentford,21,1999,32.3,4,0,0,23,41,13,54,23,25,0,0,0,179,34,123,21.7
James McArthur,sct SCO,MF,Crystal Palace,33,1987,16,4,0,0,31,22,3,15,34,26,0,0,0,201,33,34,49.3
James Mcatee,eng ENG,MFFW,Manchester City,18,2002,0.2,0,0,0,2,0,0,0,1,0,0,0,0,3,1,0,100
Kasey McAteer,eng ENG,FW,Leicester City,19,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Liam McCarron,sct SCO,FW,Leeds United,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Alex McCarthy,eng ENG,GK,Southampton,31,1989,17,1,0,0,0,1,0,0,0,0,0,0,0,61,0,0,
John McGinn,sct SCO,MF,Aston Villa,26,1994,34.3,8,0,0,70,98,0,57,52,61,0,0,0,288,22,15,59.5
Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Kenny McLean,sct SCO,MF,Norwich City,29,1992,30.1,3,0,0,23,45,3,26,55,24,0,1,0,229,86,69,55.5
Dwight McNeil,eng ENG,MF,Burnley,21,1999,34.5,1,0,0,22,49,1,111,67,36,0,0,0,272,20,24,45.5
Scott McTominay,sct SCO,MF,Manchester Utd,24,1996,26.5,9,0,0,58,47,1,8,47,33,0,1,0,286,73,36,67
Ben Mee,eng ENG,DF,Burnley,31,1989,20.4,3,0,0,14,8,2,3,35,16,0,0,1,243,92,37,71.3
Hannibal Mejbri,tn TUN,FW,Manchester Utd,18,2003,0.8,2,0,0,4,0,1,0,1,0,0,0,0,5,0,1,0
Benjamin Mendy,fr FRA,DF,Manchester City,27,1994,0.9,0,0,0,3,0,0,4,0,1,0,0,0,7,2,2,50
Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,3,0,0,1,3,0,0,0,0,0,1,0,131,0,0,
Nampalys Mendy,sn SEN,MF,Leicester City,29,1992,11.5,3,0,0,22,21,0,0,13,12,0,0,0,111,6,10,37.5
Illan Meslier,fr FRA,GK,Leeds United,21,2000,37.6,2,0,0,0,9,0,0,0,0,0,0,0,161,0,0,
Luka Milivojević,rs SRB,MF,Crystal Palace,30,1991,8.6,1,0,0,17,12,0,15,9,13,0,1,1,97,17,8,68
James Milner,eng ENG,MFDF,Liverpool,35,1986,9.5,2,0,0,17,20,0,20,22,23,0,0,0,109,14,11,56
Yerry Mina,co COL,DF,Everton,26,1994,9.4,3,0,0,9,9,1,2,10,12,0,0,0,85,38,17,69.1
Takumi Minamino,jp JPN,FWMF,Liverpool,26,1995,2.1,1,0,0,4,4,0,0,3,2,0,0,0,9,3,4,42.9
Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,35.4,11,0,0,29,27,1,4,78,21,0,1,0,314,95,49,66
Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,34.5,1,0,0,22,17,2,56,80,54,1,0,0,317,33,39,45.8
Jakub Moder,pl POL,MFFW,Brighton,22,1999,18.9,1,0,0,23,11,0,28,22,29,0,0,0,143,22,41,34.9
Wesley Moraes,br BRA,FW,Aston Villa,24,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,50
Tyler Morton,eng ENG,MF,Liverpool,18,2002,0.7,1,0,0,1,0,0,0,2,0,0,0,0,13,3,3,50
Mason Mount,eng ENG,MFFW,Chelsea,22,1999,26.3,4,0,0,37,29,5,79,20,29,0,0,0,145,11,39,22
Lucas Moura,br BRA,FWMF,Tottenham,28,1992,19.7,4,0,0,26,53,3,26,22,14,0,0,0,139,48,33,59.3
João Moutinho,pt POR,MF,Wolves,34,1986,33,4,0,0,49,23,0,32,48,54,0,1,0,356,18,27,40
Bali Mumba,eng ENG,DF,Norwich City,19,2001,0.5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0
Jacob Murphy,eng ENG,FWDF,Newcastle Utd,26,1995,16.4,4,0,0,24,17,2,49,33,17,0,1,0,123,13,34,27.7
Enock Mwepu,zm ZAM,MFFW,Brighton,23,1998,11.1,2,0,0,24,17,2,9,16,14,1,1,0,104,12,30,28.6
Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,11.7,0,0,0,15,11,0,27,25,14,1,0,0,101,13,17,43.3
Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,10,5,0,0,22,10,0,1,23,19,0,0,0,107,11,11,50
Wilfred Ndidi,ng NGA,MFDF,Leicester City,24,1996,18,4,0,0,34,26,1,2,45,47,0,2,0,249,56,34,62.2
Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,5.4,1,0,0,5,12,0,2,3,10,0,0,0,37,2,3,40
Reiss Nelson,eng ENG,FW,Arsenal,21,1999,0.2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,
Pedro Neto,pt POR,FWMF,Wolves,21,2000,5.2,3,0,0,3,7,1,23,6,5,0,0,0,27,3,5,37.5
Rúben Neves,pt POR,MF,Wolves,24,1997,29.6,9,0,0,33,18,1,21,55,43,0,0,0,311,26,23,53.1
Jeremy Ngakia,eng ENG,DF,Watford,20,2000,10,0,0,0,12,7,0,18,29,21,0,0,0,83,19,22,46.3
Saúl Ñíguez,es ESP,MFDF,Chelsea,26,1994,5.3,1,0,0,13,1,0,6,14,8,0,0,0,44,9,13,40.9
Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,9.3,3,0,0,21,16,5,11,6,7,0,0,0,43,9,42,17.6
Nicolas Nkoulou,cm CMR,DF,Watford,31,1990,1.9,0,0,0,1,0,0,0,1,0,0,0,0,13,1,1,50
Mark Noble,eng ENG,MF,West Ham,34,1987,3.7,0,0,0,5,7,0,0,5,7,0,0,0,31,1,1,50
Christian Nørgaard,dk DEN,MF,Brentford,27,1994,33.9,8,0,0,73,38,0,14,85,80,0,0,0,440,61,72,45.9
Mathias Normann,no NOR,MF,Norwich City,25,1996,18.3,6,0,0,49,30,1,15,25,24,0,1,0,189,32,15,68.1
Martin Ødegaard,no NOR,MF,Arsenal,22,1998,30.9,4,0,0,32,23,3,26,22,25,0,2,0,230,17,25,40.5
Angelo Ogbonna,it ITA,DF,West Ham,33,1988,10.2,1,0,0,5,3,0,0,13,8,0,0,0,78,26,12,68.4
Michael Olise,fr FRA,FWMF,Crystal Palace,19,2001,12.7,4,0,0,18,33,1,48,12,15,0,0,0,101,9,21,30
Robin Olsen,se SWE,GK,Aston Villa,31,1990,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,
Andrew Omobamidele,ie IRL,DF,Norwich City,19,2002,4.2,1,0,0,5,5,0,0,10,3,0,0,0,51,6,10,37.5
Tyler Onyango,eng ENG,MFFW,Everton,18,2003,0.3,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,50
Frank Onyeka,ng NGA,MF,Brentford,23,1998,11.6,4,0,0,43,27,0,6,15,16,1,0,0,94,15,25,37.5
Divock Origi,be BEL,FW,Liverpool,26,1995,1.5,0,0,0,3,2,0,1,3,0,0,0,0,12,3,5,37.5
Alex Oxlade-Chamberlain,eng ENG,MFFW,Liverpool,27,1993,8.7,0,0,0,12,7,2,22,8,14,0,0,0,65,5,12,29.4
Cole Palmer,eng ENG,FWMF,Manchester City,19,2002,1.4,0,0,0,2,1,0,4,2,2,0,0,0,7,2,0,100
Emerson Palmieri,it ITA,DF,Chelsea,26,1994,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Thomas Partey,gh GHA,MF,Arsenal,28,1993,22.5,6,0,0,40,22,0,3,33,41,0,0,0,231,23,27,46
Nicolas Pépé,ci CIV,FWMF,Arsenal,26,1995,7.7,0,0,0,12,5,4,11,9,11,0,0,0,59,17,34,33.3
Ricardo Pereira,pt POR,DF,Leicester City,27,1993,11,3,0,0,8,17,0,17,25,25,0,0,0,81,23,11,67.6
Ayoze Pérez,es ESP,MFFW,Leicester City,28,1993,4.9,0,1,0,8,12,0,4,9,6,0,0,0,30,8,16,33.3
Sonny Perkins,eng ENG,FW,West Ham,17,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100
Romain Perraud,fr FRA,DF,Southampton,23,1997,18,3,0,0,35,20,0,49,24,20,0,0,0,130,18,30,37.5
Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,17.7,4,0,0,43,24,0,7,34,42,0,0,0,215,23,26,46.9
Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Jordan Pickford,eng ENG,GK,Everton,27,1994,35,2,0,0,0,6,0,0,0,0,0,0,0,168,0,0,
Erik Pieters,nl NED,DF,Burnley,32,1988,8.1,1,0,0,18,5,0,4,23,16,0,0,0,75,13,12,52
Ethan Pinnock,jm JAM,DF,Brentford,28,1993,29.9,1,0,0,12,19,1,28,56,38,0,0,0,349,151,71,68
Przemysław Płacheta,pl POL,FWMF,Norwich City,23,1998,5.6,1,0,0,2,8,0,10,9,3,0,0,0,34,3,10,23.1
Daniel Podence,pt POR,FWMF,Wolves,25,1995,16.5,2,0,0,11,30,3,34,6,9,0,0,0,90,2,25,7.4
Paul Pogba,fr FRA,MFFW,Manchester Utd,28,1993,15,7,1,0,45,39,0,15,19,13,0,0,0,126,39,26,60
Nick Pope,eng ENG,GK,Burnley,29,1992,36,1,0,0,0,4,0,0,0,0,0,0,0,188,0,0,
Isaac Price,nir NIR,MF,Everton,17,2003,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Teemu Pukki,fi FIN,FW,Norwich City,31,1990,36.1,4,0,0,44,29,12,25,17,11,1,0,0,124,16,108,12.9
Christian Pulisic,us USA,MFFW,Chelsea,22,1998,14.3,2,0,0,14,35,4,13,11,9,0,0,0,79,15,33,31.3
Jesuran Rak Sakyi,eng ENG,FWMF,Crystal Palace,18,2002,0.9,0,0,0,1,4,0,1,3,0,0,0,0,5,0,1,0
Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34,1,0,0,0,7,0,0,0,0,0,0,0,183,0,1,0
Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,27.4,6,0,0,41,52,1,16,38,41,0,0,0,178,22,35,38.6
Raphinha,br BRA,FWMF,Leeds United,24,1996,32.4,7,0,0,49,52,14,90,43,25,1,1,0,212,25,37,40.3
Marcus Rashford,eng ENG,FWMF,Manchester Utd,23,1997,13.7,2,0,0,13,21,14,25,12,6,0,0,0,67,15,29,34.1
Milot Rashica,xk KVX,FWMF,Norwich City,25,1996,24.8,0,0,0,28,52,13,80,36,21,0,0,0,139,17,39,30.4
David Raya,es ESP,GK,Brentford,25,1995,24,1,0,0,1,2,0,0,0,0,0,1,0,126,0,0,
Nathan Redmond,eng ENG,MFFW,Southampton,27,1994,20.4,0,0,0,17,20,3,51,21,13,0,0,0,142,16,47,25.4
Sergio Reguilón,es ESP,DF,Tottenham,24,1996,21.3,4,0,0,25,28,1,59,42,28,0,0,0,144,31,24,56.4
Declan Rice,eng ENG,MF,West Ham,22,1999,35.3,8,0,0,35,21,0,37,95,53,0,0,0,366,48,28,63.2
Taylor Richards,eng ENG,MFFW,Brighton,20,2000,0.3,0,0,0,2,2,0,0,0,0,0,0,0,5,0,1,0
Richarlison,br BRA,FWMF,Everton,24,1997,28,9,0,0,40,83,20,29,21,27,1,0,0,185,57,176,24.5
Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,1.3,0,0,0,1,0,0,0,0,2,0,0,0,12,0,2,0
Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,14.9,5,0,0,12,11,0,45,30,7,0,0,0,118,14,21,40
Connor Roberts,wls WAL,DF,Burnley,25,1995,18.8,2,0,0,12,31,1,28,42,13,0,0,0,150,19,17,52.8
Tyler Roberts,wls WAL,MFFW,Leeds United,22,1999,11,5,0,0,19,25,3,16,7,7,0,0,0,63,10,26,27.8
Andrew Robertson,sct SCO,DF,Liverpool,27,1994,28.2,5,1,0,21,11,4,89,49,17,0,0,0,248,33,13,71.7
Joe Rodon,wls WAL,DF,Tottenham,23,1997,1,0,0,0,0,1,0,0,2,0,0,0,0,8,4,2,66.7
Rodri,es ESP,MF,Manchester City,25,1996,32,5,0,0,50,37,0,8,40,46,0,0,0,415,91,33,73.4
Rodrigo,es ESP,MFFW,Leeds United,30,1991,25.2,9,0,0,27,32,4,28,19,18,0,0,0,139,29,50,36.7
Jay Rodriguez,eng ENG,FW,Burnley,32,1989,15.4,3,0,0,37,19,17,8,6,10,0,0,0,68,61,86,41.5
Mads Roerslev,dk DEN,DF,Brentford,22,1999,13.8,1,0,0,20,9,2,23,21,9,0,1,0,82,16,30,34.8
