Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,3-Jan,PPA,CrsPA,Prog
Jack Stephens,eng ENG,DF,Southampton,26,1994,17.1,845,1016,83.2,17222,6271,280,317,88.3,439,490,89.6,117,187,62.6,0,0.5,-0.5,8,67,11,0,60
Raheem Sterling,eng ENG,FW,Manchester City,25,1994,28.2,962,1127,85.4,12874,2421,637,699,91.1,255,286,89.2,31,50,62,7,4.8,2.2,38,38,29,5,62
Enda Stevens,ie IRL,DF,Sheffield Utd,30,1990,30,1106,1427,77.5,19176,8176,557,610,91.3,424,529,80.2,112,238,47.1,1,1.6,-0.6,18,88,30,8,116
John Stones,eng ENG,DF,Manchester City,26,1994,21.5,1615,1713,94.3,31552,7992,594,620,95.8,796,822,96.8,210,245,85.7,0,0.1,-0.1,2,113,4,0,75
Pascal Struijk,nl NED,DFMF,Leeds United,20,1999,23.1,1097,1259,87.1,24438,6594,275,306,89.9,616,660,93.3,196,272,72.1,0,0.2,-0.2,5,48,2,0,47
Japhet Tanganga,eng ENG,DF,Tottenham,21,1999,5.4,193,229,84.3,2898,1163,108,120,90,72,81,88.9,7,17,41.2,0,0,0,0,6,3,1,12
Matt Targett,eng ENG,DF,Aston Villa,24,1995,37.8,1653,2147,77,30781,15309,738,825,89.5,659,828,79.6,217,400,54.3,2,3.1,-1.1,44,159,53,15,222
James Tarkowski,eng ENG,DF,Burnley,27,1992,36,840,1167,72,20747,7676,221,286,77.3,374,458,81.7,240,401,59.9,0,0.7,-0.7,10,69,13,2,76
Percy Tau,za RSA,FWMF,Brighton,26,1994,1.1,22,29,75.9,322,67,11,15,73.3,10,11,90.9,0,2,0,1,0.3,0.7,3,1,1,0,2
Sidnei Tavares,pt POR,MF,Leicester City,18,2001,0.9,19,26,73.1,309,52,11,16,68.8,7,8,87.5,1,1,100,0,0,0,0,0,0,0,1
Charlie Taylor,eng ENG,DF,Burnley,26,1993,27,907,1298,69.9,16840,7035,429,491,87.4,348,455,76.5,121,302,40.1,1,1.8,-0.8,15,73,25,19,66
Neil Taylor,wls WAL,DF,Aston Villa,31,1989,0.2,10,11,90.9,120,29,8,8,100,2,3,66.7,0,0,,0,0,0,0,0,0,0,0
Allan Tchaptchet,fr FRA,DF,Southampton,18,2001,0.1,0,2,0,0,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0
Nathan Tella,eng ENG,FWMF,Southampton,21,1999,8.3,107,146,73.3,1677,313,60,74,81.1,33,41,80.5,9,14,64.3,1,0.8,0.2,6,4,8,4,6
Alex Telles,br BRA,DF,Manchester Utd,27,1992,7.7,459,570,80.5,7690,3146,235,250,94,168,198,84.8,43,104,41.3,2,1.1,0.9,12,35,14,2,50
Kenny Tete,nl NED,DF,Fulham,24,1995,16.5,642,863,74.4,11784,4782,282,335,84.2,267,340,78.5,77,129,59.7,1,1.6,-0.6,17,35,25,19,54
William Thomas Fish,eng ENG,DF,Manchester Utd,17,2003,0,0,1,0,0,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0
Luke Thomas,eng ENG,DF,Leicester City,19,2001,10.8,359,484,74.2,5636,1957,205,240,85.4,126,166,75.9,22,54,40.7,0,0.2,-0.2,5,22,7,2,28
Youri Tielemans,be BEL,MF,Leicester City,23,1997,37.3,2011,2559,78.6,38768,9963,788,893,88.2,910,1049,86.7,282,538,52.4,4,3.3,0.7,48,212,43,4,206
Kieran Tierney,sct SCO,DF,Arsenal,23,1997,25.5,1136,1490,76.2,20866,6069,480,550,87.3,521,625,83.4,127,271,46.9,3,4.1,-1.1,33,56,34,14,98
James Tomkins,eng ENG,DF,Crystal Palace,31,1989,6.1,129,164,78.7,2909,907,32,36,88.9,67,72,93.1,29,52,55.8,0,0.1,-0.1,1,12,0,0,4
Fikayo Tomori,eng ENG,DF,Chelsea,22,1997,0.5,27,29,93.1,574,161,6,6,100,17,18,94.4,4,5,80,0,0,0,0,0,0,0,0
Ferrán Torres,es ESP,FWMF,Manchester City,20,2000,14.5,360,442,81.4,5793,1046,189,217,87.1,138,158,87.3,22,48,45.8,2,1.9,0.1,18,16,15,2,34
Cenk Tosun,tr TUR,FW,Everton,29,1991,0.5,8,10,80,151,14,4,4,100,3,3,100,1,2,50,0,0.1,-0.1,1,0,0,0,0
Andros Townsend,eng ENG,MFFW,Crystal Palace,29,1991,25.1,587,864,67.9,10358,3963,299,354,84.5,180,243,74.1,85,207,41.1,5,3.7,1.3,39,42,40,20,75
Conor Townsend,eng ENG,DF,West Brom,27,1993,24.8,881,1176,74.9,16373,7926,371,418,88.8,405,508,79.7,94,216,43.5,2,2.1,-0.1,22,78,25,15,118
Adama Traoré,es ESP,FW,Wolves,24,1996,29.4,579,878,65.9,9468,2410,298,384,77.6,211,312,67.6,52,103,50.5,2,5.4,-3.4,56,43,26,16,63
Bertrand Traoré,bf BFA,FW,Aston Villa,24,1995,25.7,566,796,71.1,10852,2636,247,304,81.3,214,274,78.1,93,179,52,6,3.2,2.8,33,28,26,7,62
Trézéguet,eg EGY,FW,Aston Villa,25,1994,13,228,328,69.5,3782,1102,107,140,76.4,87,120,72.5,23,42,54.8,1,2,-1,12,22,6,3,28
Leandro Trossard,be BEL,FWMF,Brighton,25,1994,29,813,1085,74.9,15607,4328,344,429,80.2,336,410,82,114,175,65.1,5,4.3,0.7,46,79,64,15,124
Kostas Tsimikas,gr GRE,DFFW,Liverpool,24,1996,0.1,6,8,75,118,0,4,4,100,1,2,50,1,2,50,0,0,0,0,0,0,0,0
Axel Tuanzebe,eng ENG,DF,Manchester Utd,22,1997,4.5,236,263,89.7,4763,1047,76,81,93.8,123,132,93.2,35,43,81.4,0,0,0,0,9,0,0,10
Cengiz Ünder,tr TUR,MFFW,Leicester City,23,1997,3.1,91,129,70.5,1556,499,50,61,82,30,38,78.9,10,19,52.6,2,1.8,0.2,6,5,10,4,10
Yan Valery,fr FRA,DFMF,Southampton,21,1999,1.1,53,64,82.8,883,269,25,27,92.6,26,28,92.9,2,6,33.3,0,0,0,0,0,2,1,2
Virgil van Dijk,nl NED,DF,Liverpool,29,1991,4.1,296,329,90,7078,2109,61,65,93.8,176,186,94.6,59,77,76.6,0,0,0,0,26,0,0,20
Jamie Vardy,eng ENG,FW,Leicester City,33,1987,31.6,300,452,66.4,4478,717,182,255,71.4,88,129,68.2,20,33,60.6,9,4.9,4.1,27,13,11,0,25
Joël Veltman,nl NED,DF,Brighton,28,1992,25.3,1152,1491,77.3,22778,9083,412,471,87.5,582,712,81.7,150,277,54.2,1,1.1,-0.1,21,96,35,13,121
Jannik Vestergaard,dk DEN,DF,Southampton,27,1992,28.6,1444,1712,84.3,29904,10850,502,542,92.6,734,825,89,201,321,62.6,0,0.6,-0.6,7,98,9,0,73
Rúben Vinagre,pt POR,DF,Wolves,21,1999,1.9,82,98,83.7,1310,324,44,48,91.7,31,40,77.5,7,9,77.8,0,0,0,0,2,1,1,2
Carlos Vinícius,br BRA,FW,Tottenham,25,1995,3.4,25,44,56.8,344,57,9,19,47.4,8,13,61.5,2,5,40,0,0.1,-0.1,2,2,1,0,3
João Virgínia,pt POR,GK,Everton,20,1999,0.5,9,17,52.9,310,223,1,1,100,3,3,100,5,13,38.5,0,0,0,0,0,0,0,0
Vitinha,pt POR,MF,Wolves,20,2000,5.8,290,329,88.1,4834,678,137,153,89.5,117,122,95.9,27,40,67.5,1,0.7,0.3,12,21,3,0,12
Jake Vokins,eng ENG,DF,Southampton,20,2000,0.7,20,22,90.9,371,115,7,7,100,13,13,100,0,1,0,0,0.2,-0.2,2,0,2,1,3
Matěj Vydra,cz CZE,FW,Burnley,28,1992,15.2,193,266,72.6,2434,375,131,172,76.2,42,54,77.8,9,14,64.3,2,1.8,0.2,14,7,9,2,13
Theo Walcott,eng ENG,MFFW,Southampton,31,1989,18,307,424,72.4,4385,925,184,223,82.5,95,133,71.4,13,35,37.1,3,1.2,1.8,17,19,14,4,27
Theo Walcott,eng ENG,FW,Everton,31,1989,0.1,1,1,100,18,10,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0
Kyle Walker,eng ENG,DF,Manchester City,30,1990,21.6,1695,1897,89.4,33841,8941,623,670,93,830,889,93.4,228,298,76.5,1,0.5,0.5,7,193,12,2,107
Kyle Walker-Peters,eng ENG,DF,Southampton,23,1997,29.4,1295,1612,80.3,21589,7161,655,715,91.6,503,622,80.9,110,195,56.4,2,1.4,0.6,17,59,16,2,92
Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,22,1997,34,1775,2065,86,26841,9551,1008,1094,92.1,665,760,87.5,71,125,56.8,4,2.4,1.6,30,88,33,14,125
Joel Ward,eng ENG,DF,Crystal Palace,30,1989,25.1,783,1078,72.6,13152,6479,391,447,87.5,295,395,74.7,73,171,42.7,1,0.4,0.6,7,61,10,2,69
James Ward-Prowse,eng ENG,MF,Southampton,25,1994,38,2117,2619,80.8,37952,10063,939,1040,90.3,914,1011,90.4,224,498,45,7,4.1,2.9,57,155,24,1,155
