Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,2,0,0,13,3,3,34,34,19,0,0,0,179,10,11,47.6
Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,0,0,0,26,19,5,4,2,4,1,0,0,47,39,28,58.2
Che Adams,sct SCO,FW,Southampton,24,1996,29.6,1,0,0,32,68,19,13,11,17,0,0,0,119,47,141,25
Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,1,0,0,19,6,2,3,55,26,0,1,1,278,100,39,71.9
Adrián,es ESP,GK,Liverpool,33,1987,3,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,
Sergio Agüero,ar ARG,FWMF,Manchester City,32,1988,6.2,0,0,0,2,9,1,2,4,0,0,0,0,18,2,6,25
Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,3,0,0,34,28,2,42,53,25,0,0,0,250,33,43,43.4
Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,1,0,0,17,22,1,30,15,16,0,1,0,118,14,21,40
Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,3,1,0,31,8,1,6,41,42,0,2,0,263,85,46,64.9
Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,4,0,0,8,6,0,0,6,6,0,1,0,80,30,17,63.8
Marc Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,2,0,0,17,24,4,73,28,31,0,0,0,188,15,32,31.9
Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,4,0,0,52,41,0,4,42,43,0,1,0,236,34,23,59.6
Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,2,0,0,22,4,0,1,15,19,0,1,1,200,54,39,58.1
Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Trent Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,2,0,0,23,13,5,182,49,36,0,1,0,336,8,28,22.2
Ezgjan Alioski,mk MKD,DF,Leeds United,28,1992,27.3,7,0,0,48,46,6,59,36,42,0,2,0,248,43,43,50
Alisson,br BRA,GK,Liverpool,27,1992,33,1,0,0,1,6,0,0,0,0,0,1,0,170,0,1,0
Allan,br BRA,MF,Everton,29,1991,22.8,6,0,0,52,38,0,3,23,54,0,0,0,221,6,13,31.6
Dele Alli,eng ENG,MF,Tottenham,24,1996,6.9,0,0,0,14,14,1,7,10,15,0,0,0,66,10,13,43.5
