Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Patrick van Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,0,18,6,33.3,0.91,0.3,0,0,20.3,3,0,0,1.2,1.2,0.07,-1.2,-1.2
Tammy Abraham,eng ENG,FW,Chelsea,22,1997,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,9.7,0,0,0,6.4,6.4,0.2,-0.4,-0.4
Che Adams,sct SCO,FW,Southampton,24,1996,29.6,9,56,31,55.4,1.89,1.05,0.16,0.29,13.1,0,0,0,8.7,8.7,0.16,0.3,0.3
Tosin Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,0,20,5,25,0.61,0.15,0,0,8.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1
Adrián,es ESP,GK,Liverpool,33,1987,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Sergio Agüero,ar ARG,FWMF,Manchester City,32,1988,6.2,4,17,10,58.8,2.74,1.61,0.18,0.3,13.9,0,1,2,3.4,1.8,0.11,0.6,1.2
Ola Aina,ng NGA,DF,Fulham,23,1996,29.6,2,14,4,28.6,0.47,0.14,0.14,0.5,25.2,1,0,0,1,1,0.07,1,1
Rayan Aït Nouri,fr FRA,DF,Wolves,19,2001,15.6,1,16,6,37.5,1.03,0.38,0.06,0.17,19.7,0,0,0,0.6,0.6,0.04,0.4,0.4
Semi Ajayi,ng NGA,DF,West Brom,26,1993,30.9,2,13,4,30.8,0.42,0.13,0.15,0.5,9,0,0,0,1.3,1.3,0.1,0.7,0.7
Nathan Aké,nl NED,DF,Manchester City,25,1995,8.9,1,3,1,33.3,0.34,0.11,0.33,1,16,0,0,0,0.1,0.1,0.04,0.9,0.9
Marc Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,1,21,9,42.9,1.08,0.46,0.05,0.11,20.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3
Thiago Alcántara,es ESP,MF,Liverpool,29,1991,20.6,1,22,5,22.7,1.07,0.24,0.05,0.2,21,1,0,0,1.4,1.4,0.06,-0.4,-0.4
Toby Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,1,11,3,27.3,0.44,0.12,0.09,0.33,7.6,0,0,0,0.8,0.8,0.08,0.2,0.2
